x,y,V
0,0,1
0.02,0,1
0.04,0,1
0.06,0,1
0.08,0,1
0.1,0,0.999999
0.12,0,0.999999
0.14,0,0.999999
0.16,0,0.999998
0.18,0,0.999998
0.2,0,0.999998
0.22,0,0.999997
0.24,0,0.999997
0.26,0,0.999996
0.28,0,0.999995
0.3,0,0.999995
0.32,0,0.999994
0.34,0,0.999993
0.36,0,0.999993
0.38,0,0.999992
0.4,0,0.999991
0.42,0,0.99999
0.44,0,0.999989
0.46,0,0.999988
0.48,0,0.999987
0.5,0,0.999986
0.52,0,0.999985
0.54,0,0.999983
0.56,0,0.999982
0.58,0,0.999981
0.6,0,0.99998
0.62,0,0.999978
0.64,0,0.999977
0.66,0,0.999975
0.68,0,0.999974
0.7,0,0.999972
0.72,0,0.999971
0.74,0,0.999969
0.76,0,0.999967
0.78,0,0.999966
0.8,0,0.999964
0.82,0,0.999962
0.84,0,0.99996
0.86,0,0.999958
0.88,0,0.999956
0.9,0,0.999954
0.92,0,0.999952
0.94,0,0.99995
0.96,0,0.999948
0.98,0,0.999946
1,0,0.999943
1.02,0,0.999941
1.04,0,0.999939
1.06,0,0.999937
1.08,0,0.999934
1.1,0,0.999932
1.12,0,0.999929
1.14,0,0.999927
1.16,0,0.999924
1.18,0,0.999921
1.2,0,0.999919
1.22,0,0.999916
1.24,0,0.999913
1.26,0,0.99991
1.28,0,0.999908
1.3,0,0.999905
1.32,0,0.999902
1.34,0,0.999899
1.36,0,0.999896
1.38,0,0.999893
1.4,0,0.999889
1.42,0,0.999886
1.44,0,0.999883
1.46,0,0.99988
1.48,0,0.999876
1.5,0,0.999873
1.52,0,0.99987
1.54,0,0.999866
1.56,0,0.999863
1.58,0,0.999859
1.6,0,0.999856
1.62,0,0.999852
1.64,0,0.999848
1.66,0,0.999844
1.68,0,0.999841
1.7,0,0.999837
1.72,0,0.999833
1.74,0,0.999829
1.76,0,0.999825
1.78,0,0.999821
1.8,0,0.999817
1.82,0,0.999813
1.84,0,0.999809
1.86,0,0.999805
1.88,0,0.999801
1.9,0,0.999796
1.92,0,0.999793
1.94,0,0.999791
1.96,0,0.999802
1.98,0,0.999906
2,0,1
0,0.01,1
0.02,0.01,2.78118e-08
0.04,0.01,9.06122e-08
0.06,0.01,1.95739e-07
0.08,0.01,3.44684e-07
0.1,0.01,5.37802e-07
0.12,0.01,7.75198e-07
0.14,0.01,1.05692e-06
0.16,0.01,1.38298e-06
0.18,0.01,1.75342e-06
0.2,0.01,2.16824e-06
0.22,0.01,2.62748e-06
0.24,0.01,3.13114e-06
0.26,0.01,3.67926e-06
0.28,0.01,4.27184e-06
0.3,0.01,4.9089e-06
0.32,0.01,5.59048e-06
0.34,0.01,6.31657e-06
0.36,0.01,7.08722e-06
0.38,0.01,7.90242e-06
0.4,0.01,8.76221e-06
0.42,0.01,9.6666e-06
0.44,0.01,1.06156e-05
0.46,0.01,1.16093e-05
0.48,0.01,1.26476e-05
0.5,0.01,1.37306e-05
0.52,0.01,1.48583e-05
0.54,0.01,1.60307e-05
0.56,0.01,1.72478e-05
0.58,0.01,1.85097e-05
0.6,0.01,1.98164e-05
0.62,0.01,2.11679e-05
0.64,0.01,2.25642e-05
0.66,0.01,2.40053e-05
0.68,0.01,2.54913e-05
0.7,0.01,2.70221e-05
0.72,0.01,2.85979e-05
0.74,0.01,3.02185e-05
0.76,0.01,3.18841e-05
0.78,0.01,3.35946e-05
0.8,0.01,3.53501e-05
0.82,0.01,3.71506e-05
0.84,0.01,3.89961e-05
0.86,0.01,4.08866e-05
0.88,0.01,4.28222e-05
0.9,0.01,4.48028e-05
0.92,0.01,4.68285e-05
0.94,0.01,4.88994e-05
0.96,0.01,5.10153e-05
0.98,0.01,5.31764e-05
1,0.01,5.53827e-05
1.02,0.01,5.76341e-05
1.04,0.01,5.99307e-05
1.06,0.01,6.22726e-05
1.08,0.01,6.46597e-05
1.1,0.01,6.7092e-05
1.12,0.01,6.95697e-05
1.14,0.01,7.20926e-05
1.16,0.01,7.46608e-05
1.18,0.01,7.72744e-05
1.2,0.01,7.99334e-05
1.22,0.01,8.26377e-05
1.24,0.01,8.53874e-05
1.26,0.01,8.81825e-05
1.28,0.01,9.10231e-05
1.3,0.01,9.39091e-05
1.32,0.01,9.68406e-05
1.34,0.01,9.98176e-05
1.36,0.01,0.00010284
1.38,0.01,0.000105908
1.4,0.01,0.000109022
1.42,0.01,0.000112181
1.44,0.01,0.000115386
1.46,0.01,0.000118636
1.48,0.01,0.000121932
1.5,0.01,0.000125273
1.52,0.01,0.000128661
1.54,0.01,0.000132094
1.56,0.01,0.000135572
1.58,0.01,0.000139097
1.6,0.01,0.000142667
1.62,0.01,0.000146283
1.64,0.01,0.000149945
1.66,0.01,0.000153652
1.68,0.01,0.000157405
1.7,0.01,0.000161204
1.72,0.01,0.000165049
1.74,0.01,0.00016894
1.76,0.01,0.000172877
1.78,0.01,0.00017686
1.8,0.01,0.000180888
1.82,0.01,0.000184961
1.84,0.01,0.000189077
1.86,0.01,0.00019323
1.88,0.01,0.000197406
1.9,0.01,0.000201554
1.92,0.01,0.000205517
1.94,0.01,0.000208714
1.96,0.01,0.000208506
1.98,0.01,0.000188081
2,0.01,1.02039
0,0.02,1
0.02,0.02,2.87942e-08
0.04,0.02,7.43519e-08
0.06,0.02,1.46899e-07
0.08,0.02,2.47192e-07
0.1,0.02,3.75131e-07
0.12,0.02,5.30656e-07
0.14,0.02,7.13765e-07
0.16,0.02,9.2448e-07
0.18,0.02,1.16283e-06
0.2,0.02,1.42886e-06
0.22,0.02,1.72261e-06
0.24,0.02,2.0441e-06
0.26,0.02,2.39339e-06
0.28,0.02,2.77051e-06
0.3,0.02,3.17549e-06
0.32,0.02,3.60838e-06
0.34,0.02,4.06922e-06
0.36,0.02,4.55804e-06
0.38,0.02,5.07489e-06
0.4,0.02,5.61979e-06
0.42,0.02,6.1928e-06
0.44,0.02,6.79395e-06
0.46,0.02,7.42328e-06
0.48,0.02,8.08083e-06
0.5,0.02,8.76664e-06
0.52,0.02,9.48074e-06
0.54,0.02,1.02232e-05
0.56,0.02,1.0994e-05
0.58,0.02,1.17932e-05
0.6,0.02,1.26209e-05
0.62,0.02,1.34771e-05
0.64,0.02,1.43618e-05
0.66,0.02,1.52751e-05
0.68,0.02,1.62169e-05
0.7,0.02,1.71875e-05
0.72,0.02,1.81867e-05
0.74,0.02,1.92147e-05
0.76,0.02,2.02714e-05
0.78,0.02,2.13569e-05
0.8,0.02,2.24713e-05
0.82,0.02,2.36145e-05
0.84,0.02,2.47867e-05
0.86,0.02,2.59879e-05
0.88,0.02,2.7218e-05
0.9,0.02,2.84772e-05
0.92,0.02,2.97655e-05
0.94,0.02,3.10829e-05
0.96,0.02,3.24295e-05
0.98,0.02,3.38053e-05
1,0.02,3.52103e-05
1.02,0.02,3.66446e-05
1.04,0.02,3.81082e-05
1.06,0.02,3.96012e-05
1.08,0.02,4.11236e-05
1.1,0.02,4.26755e-05
1.12,0.02,4.42568e-05
1.14,0.02,4.58676e-05
1.16,0.02,4.7508e-05
1.18,0.02,4.9178e-05
1.2,0.02,5.08777e-05
1.22,0.02,5.2607e-05
1.24,0.02,5.43661e-05
1.26,0.02,5.61549e-05
1.28,0.02,5.79735e-05
1.3,0.02,5.9822e-05
1.32,0.02,6.17003e-05
1.34,0.02,6.36086e-05
1.36,0.02,6.55468e-05
1.38,0.02,6.75151e-05
1.4,0.02,6.95133e-05
1.42,0.02,7.15417e-05
1.44,0.02,7.36002e-05
1.46,0.02,7.56889e-05
1.48,0.02,7.78077e-05
1.5,0.02,7.99568e-05
1.52,0.02,8.21362e-05
1.54,0.02,8.4346e-05
1.56,0.02,8.65861e-05
1.58,0.02,8.88566e-05
1.6,0.02,9.11575e-05
1.62,0.02,9.3489e-05
1.64,0.02,9.5851e-05
1.66,0.02,9.82435e-05
1.68,0.02,0.000100667
1.7,0.02,0.000103121
1.72,0.02,0.000105605
1.74,0.02,0.00010812
1.76,0.02,0.000110666
1.78,0.02,0.000113244
1.8,0.02,0.000115852
1.82,0.02,0.000118492
1.84,0.02,0.000121166
1.86,0.02,0.000123879
1.88,0.02,0.000126644
1.9,0.02,0.000129499
1.92,0.02,0.000132544
1.94,0.02,0.00013601
1.96,0.02,0.000139869
1.98,0.02,0.000135759
2,0.02,1.04085
0,0.03,1
0.02,0.03,4.96608e-08
0.04,0.03,1.03417e-07
0.06,0.03,1.86668e-07
0.08,0.03,3.02995e-07
0.1,0.03,4.53082e-07
0.12,0.03,6.37147e-07
0.14,0.03,8.55306e-07
0.16,0.03,1.10763e-06
0.18,0.03,1.3942e-06
0.2,0.03,1.71507e-06
0.22,0.03,2.07029e-06
0.24,0.03,2.45993e-06
0.26,0.03,2.88404e-06
0.28,0.03,3.34269e-06
0.3,0.03,3.83593e-06
0.32,0.03,4.36382e-06
0.34,0.03,4.92642e-06
0.36,0.03,5.52378e-06
0.38,0.03,6.15598e-06
0.4,0.03,6.82306e-06
0.42,0.03,7.52508e-06
0.44,0.03,8.26211e-06
0.46,0.03,9.0342e-06
0.48,0.03,9.84141e-06
0.5,0.03,1.06838e-05
0.52,0.03,1.15614e-05
0.54,0.03,1.24744e-05
0.56,0.03,1.34226e-05
0.58,0.03,1.44064e-05
0.6,0.03,1.54255e-05
0.62,0.03,1.64803e-05
0.64,0.03,1.75706e-05
0.66,0.03,1.86965e-05
0.68,0.03,1.98582e-05
0.7,0.03,2.10557e-05
0.72,0.03,2.2289e-05
0.74,0.03,2.35582e-05
0.76,0.03,2.48634e-05
0.78,0.03,2.62045e-05
0.8,0.03,2.75818e-05
0.82,0.03,2.89951e-05
0.84,0.03,3.04447e-05
0.86,0.03,3.19306e-05
0.88,0.03,3.34527e-05
0.9,0.03,3.50112e-05
0.92,0.03,3.66062e-05
0.94,0.03,3.82377e-05
0.96,0.03,3.99057e-05
0.98,0.03,4.16103e-05
1,0.03,4.33517e-05
1.02,0.03,4.51297e-05
1.04,0.03,4.69446e-05
1.06,0.03,4.87964e-05
1.08,0.03,5.0685e-05
1.1,0.03,5.26107e-05
1.12,0.03,5.45734e-05
1.14,0.03,5.65732e-05
1.16,0.03,5.86102e-05
1.18,0.03,6.06844e-05
1.2,0.03,6.27959e-05
1.22,0.03,6.49447e-05
1.24,0.03,6.7131e-05
1.26,0.03,6.93548e-05
1.28,0.03,7.16161e-05
1.3,0.03,7.3915e-05
1.32,0.03,7.62515e-05
1.34,0.03,7.86258e-05
1.36,0.03,8.10379e-05
1.38,0.03,8.34878e-05
1.4,0.03,8.59757e-05
1.42,0.03,8.85015e-05
1.44,0.03,9.10654e-05
1.46,0.03,9.36673e-05
1.48,0.03,9.63074e-05
1.5,0.03,9.89858e-05
