x,y,V
0.000000,0.000000,1.000000
0.040000,0.000000,1.000000
0.080000,0.000000,1.000000
0.120000,0.000000,1.000000
0.160000,0.000000,1.000000
0.200000,0.000000,1.000000
0.240000,0.000000,1.000000
0.280000,0.000000,1.000000
0.320000,0.000000,1.000000
0.360000,0.000000,1.000000
0.400000,0.000000,1.000000
0.440000,0.000000,1.000000
0.480000,0.000000,1.000000
0.520000,0.000000,1.000000
0.560000,0.000000,1.000000
0.600000,0.000000,1.000000
0.640000,0.000000,1.000000
0.680000,0.000000,1.000000
0.720000,0.000000,1.000000
0.760000,0.000000,1.000000
0.800000,0.000000,1.000000
0.840000,0.000000,1.000000
0.880000,0.000000,1.000000
0.920000,0.000000,1.000000
0.960000,0.000000,1.000000
1.000000,0.000000,1.000000
1.040000,0.000000,1.000000
1.080000,0.000000,1.000000
1.120000,0.000000,1.000000
1.160000,0.000000,1.000000
1.200000,0.000000,1.000000
1.240000,0.000000,1.000000
1.280000,0.000000,1.000000
1.320000,0.000000,1.000000
1.360000,0.000000,1.000000
1.400000,0.000000,1.000000
1.440000,0.000000,1.000000
1.480000,0.000000,1.000000
1.520000,0.000000,1.000000
1.560000,0.000000,1.000000
1.600000,0.000000,1.000000
1.640000,0.000000,1.000000
1.680000,0.000000,1.000000
1.720000,0.000000,1.000000
1.760000,0.000000,1.000000
1.800000,0.000000,1.000000
1.840000,0.000000,1.000000
1.880000,0.000000,1.000000
1.920000,0.000000,1.000000
1.960000,0.000000,1.000000
2.000000,0.000000,1.000000
0.000000,0.020000,1.000000
0.040000,0.020000,1.001791
0.080000,0.020000,1.003587
0.120000,0.020000,1.005395
0.160000,0.020000,1.007222
0.200000,0.020000,1.009073
0.240000,0.020000,1.010954
0.280000,0.020000,1.012872
0.320000,0.020000,1.014832
0.360000,0.020000,1.016838
0.400000,0.020000,1.018896
0.440000,0.020000,1.021010
0.480000,0.020000,1.023183
0.520000,0.020000,1.025420
0.560000,0.020000,1.027723
0.600000,0.020000,1.030094
0.640000,0.020000,1.032536
0.680000,0.020000,1.035048
0.720000,0.020000,1.037632
0.760000,0.020000,1.040285
0.800000,0.020000,1.043008
0.840000,0.020000,1.045796
0.880000,0.020000,1.048645
0.920000,0.020000,1.051550
0.960000,0.020000,1.054505
1.000000,0.020000,1.057500
1.040000,0.020000,1.060525
1.080000,0.020000,1.063566
1.120000,0.020000,1.066610
1.160000,0.020000,1.069637
1.200000,0.020000,1.072628
1.240000,0.020000,1.075558
1.280000,0.020000,1.078399
1.320000,0.020000,1.081120
1.360000,0.020000,1.083685
1.400000,0.020000,1.086054
1.440000,0.020000,1.088179
1.480000,0.020000,1.090010
1.520000,0.020000,1.091489
1.560000,0.020000,1.092549
1.600000,0.020000,1.093118
1.640000,0.020000,1.093114
1.680000,0.020000,1.092445
1.720000,0.020000,1.091003
1.760000,0.020000,1.088667
1.800000,0.020000,1.085288
1.840000,0.020000,1.080679
1.880000,0.020000,1.074588
1.920000,0.020000,1.066622
1.960000,0.020000,1.056032
2.000000,0.020000,1.040811
0.000000,0.040000,1.000000
0.040000,0.040000,1.003579
0.080000,0.040000,1.007168
0.120000,0.040000,1.010779
0.160000,0.040000,1.014426
0.200000,0.040000,1.018121
0.240000,0.040000,1.021876
0.280000,0.040000,1.025702
0.320000,0.040000,1.029610
0.360000,0.040000,1.033611
0.400000,0.040000,1.037713
0.440000,0.040000,1.041926
0.480000,0.040000,1.046257
0.520000,0.040000,1.050714
0.560000,0.040000,1.055302
0.600000,0.040000,1.060025
0.640000,0.040000,1.064888
0.680000,0.040000,1.069891
0.720000,0.040000,1.075035
0.760000,0.040000,1.080319
0.800000,0.040000,1.085738
0.840000,0.040000,1.091288
0.880000,0.040000,1.096960
0.920000,0.040000,1.102744
0.960000,0.040000,1.108624
1.000000,0.040000,1.114584
1.040000,0.040000,1.120603
1.080000,0.040000,1.126655
1.120000,0.040000,1.132710
1.160000,0.040000,1.138733
1.200000,0.040000,1.144681
1.240000,0.040000,1.150507
1.280000,0.040000,1.156155
1.320000,0.040000,1.161564
1.360000,0.040000,1.166660
1.400000,0.040000,1.171362
1.440000,0.040000,1.175579
1.480000,0.040000,1.179206
1.520000,0.040000,1.182129
1.560000,0.040000,1.184216
1.600000,0.040000,1.185322
1.640000,0.040000,1.185283
1.680000,0.040000,1.183914
1.720000,0.040000,1.181005
1.760000,0.040000,1.176311
1.800000,0.040000,1.169539
1.840000,0.040000,1.160324
1.880000,0.040000,1.148177
1.920000,0.040000,1.132366
1.960000,0.040000,1.111624
2.000000,0.040000,1.083287
0.000000,0.060000,1.000000
0.040000,0.060000,1.005363
0.080000,0.060000,1.010739
0.120000,0.060000,1.016148
0.160000,0.060000,1.021608
0.200000,0.060000,1.027138
0.240000,0.060000,1.032756
0.280000,0.060000,1.038479
0.320000,0.060000,1.044323
0.360000,0.060000,1.050304
0.400000,0.060000,1.056436
0.440000,0.060000,1.062733
0.480000,0.060000,1.069205
0.520000,0.060000,1.075864
0.560000,0.060000,1.082717
0.600000,0.060000,1.089773
0.640000,0.060000,1.097035
0.680000,0.060000,1.104507
0.720000,0.060000,1.112189
0.760000,0.060000,1.120079
0.800000,0.060000,1.128172
0.840000,0.060000,1.136458
0.880000,0.060000,1.144926
0.920000,0.060000,1.153560
0.960000,0.060000,1.162339
1.000000,0.060000,1.171237
1.040000,0.060000,1.180222
1.080000,0.060000,1.189256
1.120000,0.060000,1.198293
1.160000,0.060000,1.207282
1.200000,0.060000,1.216159
1.240000,0.060000,1.224853
1.280000,0.060000,1.233281
1.320000,0.060000,1.241350
1.360000,0.060000,1.248950
1.400000,0.060000,1.255961
1.440000,0.060000,1.262246
1.480000,0.060000,1.267648
1.520000,0.060000,1.271995
1.560000,0.060000,1.275091
1.600000,0.060000,1.276719
1.640000,0.060000,1.276635
1.680000,0.060000,1.274561
1.720000,0.060000,1.270185
1.760000,0.060000,1.263144
1.800000,0.060000,1.253007
1.840000,0.060000,1.239243
1.880000,0.060000,1.221156
1.920000,0.060000,1.197751
1.960000,0.060000,1.167452
2.000000,0.060000,1.127497
0.000000,0.080000,1.000000
0.040000,0.080000,1.007142
0.080000,0.080000,1.014299
0.120000,0.080000,1.021497
0.160000,0.080000,1.028761
0.200000,0.080000,1.036115
0.240000,0.080000,1.043585
0.280000,0.080000,1.051192
0.320000,0.080000,1.058959
0.360000,0.080000,1.066906
0.400000,0.080000,1.075052
0.440000,0.080000,1.083415
0.480000,0.080000,1.092010
0.520000,0.080000,1.100852
0.560000,0.080000,1.109951
0.600000,0.080000,1.119318
0.640000,0.080000,1.128959
0.680000,0.080000,1.138877
0.720000,0.080000,1.149074
0.760000,0.080000,1.159545
0.800000,0.080000,1.170286
0.840000,0.080000,1.181284
0.880000,0.080000,1.192523
0.920000,0.080000,1.203981
0.960000,0.080000,1.215632
1.000000,0.080000,1.227441
1.040000,0.080000,1.239366
1.080000,0.080000,1.251356
1.120000,0.080000,1.263351
1.160000,0.080000,1.275280
1.200000,0.080000,1.287062
1.240000,0.080000,1.298601
1.280000,0.080000,1.309788
1.320000,0.080000,1.320496
1.360000,0.080000,1.330584
1.400000,0.080000,1.339888
1.440000,0.080000,1.348227
1.480000,0.080000,1.355395
1.520000,0.080000,1.361159
1.560000,0.080000,1.365263
1.600000,0.080000,1.367416
1.640000,0.080000,1.367295
1.680000,0.080000,1.364533
1.720000,0.080000,1.358718
1.760000,0.080000,1.349372
1.800000,0.080000,1.335937
1.840000,0.080000,1.317730
1.880000,0.080000,1.293881
1.920000,0.080000,1.263203
1.960000,0.080000,1.223964
2.000000,0.080000,1.173511
0.000000,0.100000,1.000000
0.040000,0.100000,1.008913
0.080000,0.100000,1.017843
0.120000,0.100000,1.026820
0.160000,0.100000,1.035877
0.200000,0.100000,1.045045
0.240000,0.100000,1.054353
0.280000,0.100000,1.063830
0.320000,0.100000,1.073504
0.360000,0.100000,1.083401
0.400000,0.100000,1.093544
0.440000,0.100000,1.103955
0.480000,0.100000,1.114655
0.520000,0.100000,1.125660
0.560000,0.100000,1.136984
0.600000,0.100000,1.148641
0.640000,0.100000,1.160637
0.680000,0.100000,1.172979
0.720000,0.100000,1.185666
0.760000,0.100000,1.198696
0.800000,0.100000,1.212060
0.840000,0.100000,1.225744
0.880000,0.100000,1.239729
0.920000,0.100000,1.253987
0.960000,0.100000,1.268485
1.000000,0.100000,1.283180
1.040000,0.100000,1.298020
1.080000,0.100000,1.312943
1.120000,0.100000,1.327872
1.160000,0.100000,1.342722
1.200000,0.100000,1.357389
1.240000,0.100000,1.371756
1.280000,0.100000,1.385685
1.320000,0.100000,1.399021
1.360000,0.100000,1.411585
1.400000,0.100000,1.423177
1.440000,0.100000,1.433568
1.480000,0.100000,1.442503
1.520000,0.100000,1.449693
1.560000,0.100000,1.454817
1.600000,0.100000,1.457515
1.640000,0.100000,1.457385
1.680000,0.100000,1.453974
1.720000,0.100000,1.446772
1.760000,0.100000,1.435194
1.800000,0.100000,1.418560
1.840000,0.100000,1.396055
1.880000,0.100000,1.366666
1.920000,0.100000,1.329073
1.960000,0.100000,1.281479
2.000000,0.100000,1.221403
0.000000,0.120000,1.000000
0.040000,0.120000,1.010676
0.080000,0.120000,1.021368
0.120000,0.120000,1.032113
0.160000,0.120000,1.042951
0.200000,0.120000,1.053918
0.240000,0.120000,1.065050
0.280000,0.120000,1.076383
0.320000,0.120000,1.087948
0.360000,0.120000,1.099776
0.400000,0.120000,1.111898
0.440000,0.120000,1.124339
0.480000,0.120000,1.137122
0.520000,0.120000,1.150269
0.560000,0.120000,1.163797
0.600000,0.120000,1.177721
0.640000,0.120000,1.192051
0.680000,0.120000,1.206792
0.720000,0.120000,1.221946
0.760000,0.120000,1.237510
0.800000,0.120000,1.253472
0.840000,0.120000,1.269818
0.880000,0.120000,1.286524
0.920000,0.120000,1.303557
0.960000,0.120000,1.320879
1.000000,0.120000,1.338437
1.040000,0.120000,1.356170
1.080000,0.120000,1.374003
1.120000,0.120000,1.391848
1.160000,0.120000,1.409600
1.200000,0.120000,1.427138
1.240000,0.120000,1.444319
1.280000,0.120000,1.460981
1.320000,0.120000,1.476938
1.360000,0.120000,1.491978
1.400000,0.120000,1.505859
1.440000,0.120000,1.518311
1.480000,0.120000,1.529026
1.520000,0.120000,1.537662
1.560000,0.120000,1.543835
1.600000,0.120000,1.547115
1.640000,0.120000,1.547023
1.680000,0.120000,1.543023
1.720000,0.120000,1.534510
1.760000,0.120000,1.520797
1.800000,0.120000,1.501093
1.840000,0.120000,1.474468
1.880000,0.120000,1.439791
1.920000,0.120000,1.395652
1.960000,0.120000,1.340241
2.000000,0.120000,1.271249
0.000000,0.140000,1.000000
0.040000,0.140000,1.012429
0.080000,0.140000,1.024871
0.120000,0.140000,1.037372
0.160000,0.140000,1.049977
0.200000,0.140000,1.062728
0.240000,0.140000,1.075668
0.280000,0.140000,1.088838
0.320000,0.140000,1.102276
0.360000,0.140000,1.116019
0.400000,0.140000,1.130099
0.440000,0.140000,1.144548
0.480000,0.140000,1.159394
0.520000,0.140000,1.174662
0.560000,0.140000,1.190371
0.600000,0.140000,1.206539
0.640000,0.140000,1.223178
0.680000,0.140000,1.240295
0.720000,0.140000,1.257892
0.760000,0.140000,1.275964
0.800000,0.140000,1.294501
0.840000,0.140000,1.313484
0.880000,0.140000,1.332886
0.920000,0.140000,1.352671
0.960000,0.140000,1.372792
1.000000,0.140000,1.393192
1.040000,0.140000,1.413798
1.080000,0.140000,1.434523
1.120000,0.140000,1.455267
1.160000,0.140000,1.475907
1.200000,0.140000,1.496303
1.240000,0.140000,1.516291
1.280000,0.140000,1.535682
1.320000,0.140000,1.554261
1.360000,0.140000,1.571782
1.400000,0.140000,1.587965
1.440000,0.140000,1.602494
1.480000,0.140000,1.615016
1.520000,0.140000,1.625131
1.560000,0.140000,1.632394
1.600000,0.140000,1.636310
1.640000,0.140000,1.636322
1.680000,0.140000,1.631812
1.720000,0.140000,1.622085
1.760000,0.140000,1.606360
1.800000,0.140000,1.583742
1.840000,0.140000,1.553198
1.880000,0.140000,1.513503
1.920000,0.140000,1.463185
1.960000,0.140000,1.400446
2.000000,0.140000,1.323130
0.000000,0.160000,1.000000
0.040000,0.160000,1.014169
0.080000,0.160000,1.028349
0.120000,0.160000,1.042591
0.160000,0.160000,1.056946
0.200000,0.160000,1.071466
0.240000,0.160000,1.086197
0.280000,0.160000,1.101186
0.320000,0.160000,1.116478
0.360000,0.160000,1.132113
0.400000,0.160000,1.148131
0.440000,0.160000,1.164568
0.480000,0.160000,1.181454
0.520000,0.160000,1.198819
0.560000,0.160000,1.216686
0.600000,0.160000,1.235074
0.640000,0.160000,1.253998
0.680000,0.160000,1.273465
0.720000,0.160000,1.293480
0.760000,0.160000,1.314036
0.800000,0.160000,1.335122
0.840000,0.160000,1.356718
0.880000,0.160000,1.378793
0.920000,0.160000,1.401306
0.960000,0.160000,1.424206
1.000000,0.160000,1.447426
1.040000,0.160000,1.470885
1.080000,0.160000,1.494487
1.120000,0.160000,1.518115
1.160000,0.160000,1.541632
1.200000,0.160000,1.564880
1.240000,0.160000,1.587671
1.280000,0.160000,1.609793
1.320000,0.160000,1.631001
1.360000,0.160000,1.651016
1.400000,0.160000,1.669520
1.440000,0.160000,1.686156
1.480000,0.160000,1.700519
1.520000,0.160000,1.712159
1.560000,0.160000,1.720571
1.600000,0.160000,1.725189
1.640000,0.160000,1.725387
1.680000,0.160000,1.720466
1.720000,0.160000,1.709645
1.760000,0.160000,1.692051
1.800000,0.160000,1.666695
1.840000,0.160000,1.632452
1.880000,0.160000,1.588022
1.920000,0.160000,1.531884
1.960000,0.160000,1.462262
2.000000,0.160000,1.377128
0.000000,0.180000,1.000000
0.040000,0.180000,1.015895
0.080000,0.180000,1.031797
0.120000,0.180000,1.047765
0.160000,0.180000,1.063854
0.200000,0.180000,1.080123
0.240000,0.180000,1.096626
0.280000,0.180000,1.113415
0.320000,0.180000,1.130539
0.360000,0.180000,1.148046
0.400000,0.180000,1.165980
0.440000,0.180000,1.184381
0.480000,0.180000,1.203284
0.520000,0.180000,1.222722
0.560000,0.180000,1.242722
0.600000,0.180000,1.263305
0.640000,0.180000,1.284488
0.680000,0.180000,1.306282
0.720000,0.180000,1.328688
0.760000,0.180000,1.351703
0.800000,0.180000,1.375314
0.840000,0.180000,1.399497
0.880000,0.180000,1.424221
0.920000,0.180000,1.449441
0.960000,0.180000,1.475098
1.000000,0.180000,1.501119
1.040000,0.180000,1.527415
1.080000,0.180000,1.553877
1.120000,0.180000,1.580378
1.160000,0.180000,1.606765
1.200000,0.180000,1.632860
1.240000,0.180000,1.658456
1.280000,0.180000,1.683316
1.320000,0.180000,1.707166
1.360000,0.180000,1.729695
1.400000,0.180000,1.750549
1.440000,0.180000,1.769327
1.480000,0.180000,1.785581
1.520000,0.180000,1.798804
1.560000,0.180000,1.808432
1.600000,0.180000,1.813838
1.640000,0.180000,1.814321
1.680000,0.180000,1.809105
1.720000,0.180000,1.797327
1.760000,0.180000,1.778026
1.800000,0.180000,1.750127
1.840000,0.180000,1.712423
1.880000,0.180000,1.663543
1.920000,0.180000,1.601934
1.960000,0.180000,1.525840
2.000000,0.180000,1.433329
0.000000,0.200000,1.000000
0.040000,0.200000,1.017606
0.080000,0.200000,1.035214
0.120000,0.200000,1.052888
0.160000,0.200000,1.070693
0.200000,0.200000,1.088692
0.240000,0.200000,1.106946
0.280000,0.200000,1.125512
0.320000,0.200000,1.144447
0.360000,0.200000,1.163803
0.400000,0.200000,1.183629
0.440000,0.200000,1.203970
0.480000,0.200000,1.224865
0.520000,0.200000,1.246351
0.560000,0.200000,1.268458
0.600000,0.200000,1.291211
0.640000,0.200000,1.314628
0.680000,0.200000,1.338720
0.720000,0.200000,1.363493
0.760000,0.200000,1.388941
0.800000,0.200000,1.415051
0.840000,0.200000,1.441798
0.880000,0.200000,1.469148
0.920000,0.200000,1.497051
0.960000,0.200000,1.525444
1.000000,0.200000,1.554248
1.040000,0.200000,1.583365
1.080000,0.200000,1.612676
1.120000,0.200000,1.642040
1.160000,0.200000,1.671291
1.200000,0.200000,1.700233
1.240000,0.200000,1.728640
1.280000,0.200000,1.756249
1.320000,0.200000,1.782761
1.360000,0.200000,1.807831
1.400000,0.200000,1.831071
1.440000,0.200000,1.852039
1.480000,0.200000,1.870239
1.520000,0.200000,1.885114
1.560000,0.200000,1.896043
1.600000,0.200000,1.902333
1.640000,0.200000,1.903216
1.680000,0.200000,1.897839
1.720000,0.200000,1.885259
1.760000,0.200000,1.864432
1.800000,0.200000,1.834201
1.840000,0.200000,1.793282
1.880000,0.200000,1.740245
1.920000,0.200000,1.673504
1.960000,0.200000,1.591318
2.000000,0.200000,1.491825
0.000000,0.220000,1.000000
0.040000,0.220000,1.019300
0.080000,0.220000,1.038595
0.120000,0.220000,1.057957
0.160000,0.220000,1.077457
0.200000,0.220000,1.097164
0.240000,0.220000,1.117146
0.280000,0.220000,1.137467
0.320000,0.220000,1.158189
0.360000,0.220000,1.179370
0.400000,0.220000,1.201063
0.440000,0.220000,1.223318
0.480000,0.220000,1.246179
0.520000,0.220000,1.269687
0.560000,0.220000,1.293875
0.600000,0.220000,1.318770
0.640000,0.220000,1.344394
0.680000,0.220000,1.370759
0.720000,0.220000,1.397871
0.760000,0.220000,1.425726
0.800000,0.220000,1.454309
0.840000,0.220000,1.483596
0.880000,0.220000,1.513548
0.920000,0.220000,1.544112
0.960000,0.220000,1.575222
1.000000,0.220000,1.606791
1.040000,0.220000,1.638713
1.080000,0.220000,1.670861
1.120000,0.220000,1.703082
1.160000,0.220000,1.735195
1.200000,0.220000,1.766988
1.240000,0.220000,1.798214
1.280000,0.220000,1.828589
1.320000,0.220000,1.857787
1.360000,0.220000,1.885433
1.400000,0.220000,1.911102
1.440000,0.220000,1.934314
1.480000,0.220000,1.954528
1.520000,0.220000,1.971137
1.560000,0.220000,1.983462
1.600000,0.220000,1.990749
1.640000,0.220000,1.992160
1.680000,0.220000,1.986771
1.720000,0.220000,1.973560
1.760000,0.220000,1.951404
1.800000,0.220000,1.919067
1.840000,0.220000,1.875191
1.880000,0.220000,1.818291
1.920000,0.220000,1.746747
1.960000,0.220000,1.658823
2.000000,0.220000,1.552707
0.000000,0.240000,1.000000
0.040000,0.240000,1.020975
0.080000,0.240000,1.041937
0.120000,0.240000,1.062965
0.160000,0.240000,1.084137
0.200000,0.240000,1.105530
0.240000,0.240000,1.127217
0.280000,0.240000,1.149268
0.320000,0.240000,1.171752
0.360000,0.240000,1.194731
0.400000,0.240000,1.218265
0.440000,0.240000,1.242407
0.480000,0.240000,1.267208
0.520000,0.240000,1.292710
0.560000,0.240000,1.318951
0.600000,0.240000,1.345961
0.640000,0.240000,1.373763
0.680000,0.240000,1.402373
0.720000,0.240000,1.431798
0.760000,0.240000,1.462032
0.800000,0.240000,1.493063
0.840000,0.240000,1.524864
0.880000,0.240000,1.557394
0.920000,0.240000,1.590599
0.960000,0.240000,1.624405
1.000000,0.240000,1.658723
1.040000,0.240000,1.693437
1.080000,0.240000,1.728413
1.120000,0.240000,1.763484
1.160000,0.240000,1.798459
1.200000,0.240000,1.833108
1.240000,0.240000,1.867168
1.280000,0.240000,1.900330
1.320000,0.240000,1.932243
1.360000,0.240000,1.962504
1.400000,0.240000,1.990654
1.440000,0.240000,2.016174
1.480000,0.240000,2.038479
1.520000,0.240000,2.056912
1.560000,0.240000,2.070741
1.600000,0.240000,2.079149
1.640000,0.240000,2.081234
1.680000,0.240000,2.075997
1.720000,0.240000,2.062342
1.760000,0.240000,2.039068
1.800000,0.240000,2.004862
1.840000,0.240000,1.958297
1.880000,0.240000,1.897829
1.920000,0.240000,1.821805
1.960000,0.240000,1.728482
2.000000,0.240000,1.616074
0.000000,0.260000,1.000000
0.040000,0.260000,1.022629
0.080000,0.260000,1.045236
0.120000,0.260000,1.067907
0.160000,0.260000,1.090728
0.200000,0.260000,1.113781
0.240000,0.260000,1.137147
0.280000,0.260000,1.160903
0.320000,0.260000,1.185121
0.360000,0.260000,1.209872
0.400000,0.260000,1.235219
0.440000,0.260000,1.261221
0.480000,0.260000,1.287932
0.520000,0.260000,1.315399
0.560000,0.260000,1.343664
0.600000,0.260000,1.372760
0.640000,0.260000,1.402713
0.680000,0.260000,1.433539
0.720000,0.260000,1.465247
0.760000,0.260000,1.497835
0.800000,0.260000,1.531287
0.840000,0.260000,1.565576
0.880000,0.260000,1.600661
0.920000,0.260000,1.636484
0.960000,0.260000,1.672968
1.000000,0.260000,1.710017
1.040000,0.260000,1.747511
1.080000,0.260000,1.785305
1.120000,0.260000,1.823224
1.160000,0.260000,1.861063
1.200000,0.260000,1.898577
1.240000,0.260000,1.935486
1.280000,0.260000,1.971460
1.320000,0.260000,2.006124
1.360000,0.260000,2.039046
1.400000,0.260000,2.069734
1.440000,0.260000,2.097633
1.480000,0.260000,2.122114
1.520000,0.260000,2.142474
1.560000,0.260000,2.157926
1.600000,0.260000,2.167593
1.640000,0.260000,2.170508
1.680000,0.260000,2.165603
1.720000,0.260000,2.151706
1.760000,0.260000,2.127539
1.800000,0.260000,2.091715
1.840000,0.260000,2.042737
1.880000,0.260000,1.979001
1.920000,0.260000,1.898814
1.960000,0.260000,1.800415
2.000000,0.260000,1.682028
0.000000,0.280000,1.000000
0.040000,0.280000,1.024260
0.080000,0.280000,1.048488
0.120000,0.280000,1.072778
0.160000,0.280000,1.097222
0.200000,0.280000,1.121909
0.240000,0.280000,1.146927
0.280000,0.280000,1.172359
0.320000,0.280000,1.198284
0.360000,0.280000,1.224777
0.400000,0.280000,1.251907
0.440000,0.280000,1.279739
0.480000,0.280000,1.308331
0.520000,0.280000,1.337734
0.560000,0.280000,1.367993
0.600000,0.280000,1.399145
0.640000,0.280000,1.431218
0.680000,0.280000,1.464231
0.720000,0.280000,1.498194
0.760000,0.280000,1.533106
0.800000,0.280000,1.568952
0.840000,0.280000,1.605704
0.880000,0.280000,1.643320
0.920000,0.280000,1.681739
0.960000,0.280000,1.720881
1.000000,0.280000,1.760646
1.040000,0.280000,1.800907
1.080000,0.280000,1.841512
1.120000,0.280000,1.882277
1.160000,0.280000,1.922983
1.200000,0.280000,1.963374
1.240000,0.280000,2.003151
1.280000,0.280000,2.041966
1.320000,0.280000,2.079420
1.360000,0.280000,2.115053
1.400000,0.280000,2.148344
1.440000,0.280000,2.178701
1.480000,0.280000,2.205453
1.520000,0.280000,2.227851
1.560000,0.280000,2.245055
1.600000,0.280000,2.256132
1.640000,0.280000,2.260048
1.680000,0.280000,2.255667
1.720000,0.280000,2.241743
1.760000,0.280000,2.216924
1.800000,0.280000,2.179744
1.840000,0.280000,2.128637
1.880000,0.280000,2.061937
1.920000,0.280000,1.977901
1.960000,0.280000,1.874742
2.000000,0.280000,1.750673
0.000000,0.300000,1.000000
0.040000,0.300000,1.025866
0.080000,0.300000,1.051690
