x,y,V
0,0,1
0.02,0,1
0.04,0,1
0.06,0,1
0.08,0,1.00001
0.1,0,1.00002
0.12,0,1.00003
0.14,0,1.00004
0.16,0,1.00006
0.18,0,1.00008
0.2,0,1.00011
0.22,0,1.00015
0.24,0,1.00019
0.26,0,1.00024
0.28,0,1.00031
0.3,0,1.00037
0.32,0,1.00045
0.34,0,1.00054
0.36,0,1.00065
0.38,0,1.00076
0.4,0,1.00089
0.42,0,1.00103
0.44,0,1.00118
0.46,0,1.00136
0.48,0,1.00154
0.5,0,1.00175
0.52,0,1.00197
0.54,0,1.00221
0.56,0,1.00247
0.58,0,1.00275
0.6,0,1.00305
0.62,0,1.00337
0.64,0,1.00372
0.66,0,1.00408
0.68,0,1.00448
0.7,0,1.0049
0.72,0,1.00534
0.74,0,1.00581
0.76,0,1.00631
0.78,0,1.00683
0.8,0,1.00739
0.82,0,1.00798
0.84,0,1.00859
0.86,0,1.00924
0.88,0,1.00992
0.9,0,1.01064
0.92,0,1.01138
0.94,0,1.01217
0.96,0,1.01299
0.98,0,1.01384
1,0,1.01473
1.02,0,1.01566
1.04,0,1.01663
1.06,0,1.01763
1.08,0,1.01868
1.1,0,1.01976
1.12,0,1.02089
1.14,0,1.02206
1.16,0,1.02326
1.18,0,1.02451
1.2,0,1.02581
1.22,0,1.02714
1.24,0,1.02852
1.26,0,1.02994
1.28,0,1.0314
1.3,0,1.0329
1.32,0,1.03445
1.34,0,1.03604
1.36,0,1.03768
1.38,0,1.03935
1.4,0,1.04107
1.42,0,1.04283
1.44,0,1.04463
1.46,0,1.04647
1.48,0,1.04835
1.5,0,1.05026
1.52,0,1.05221
1.54,0,1.0542
1.56,0,1.05622
1.58,0,1.05826
1.6,0,1.06034
1.62,0,1.06244
1.64,0,1.06456
1.66,0,1.06669
1.68,0,1.06884
1.7,0,1.07099
1.72,0,1.07314
1.74,0,1.07527
1.76,0,1.07738
1.78,0,1.07946
1.8,0,1.08148
1.82,0,1.08343
1.84,0,1.08527
1.86,0,1.08698
1.88,0,1.08849
1.9,0,1.08973
1.92,0,1.0906
1.94,0,1.09089
1.96,0,1.09024
1.98,0,1.08779
2,0,1.07999
0,0.01,1
0.02,0.01,1
0.04,0.01,1
0.06,0.01,1.00001
0.08,0.01,1.00002
0.1,0.01,1.00003
0.12,0.01,1.00005
0.14,0.01,1.00008
0.16,0.01,1.00011
0.18,0.01,1.00015
0.2,0.01,1.0002
0.22,0.01,1.00026
0.24,0.01,1.00033
0.26,0.01,1.00041
0.28,0.01,1.0005
0.3,0.01,1.00061
0.32,0.01,1.00073
0.34,0.01,1.00087
0.36,0.01,1.00103
0.38,0.01,1.0012
0.4,0.01,1.0014
0.42,0.01,1.00161
0.44,0.01,1.00185
0.46,0.01,1.0021
0.48,0.01,1.00238
0.5,0.01,1.00269
0.52,0.01,1.00302
0.54,0.01,1.00338
0.56,0.01,1.00376
0.58,0.01,1.00418
0.6,0.01,1.00462
0.62,0.01,1.0051
0.64,0.01,1.00561
0.66,0.01,1.00615
0.68,0.01,1.00673
0.7,0.01,1.00734
0.72,0.01,1.008
0.74,0.01,1.00869
0.76,0.01,1.00941
0.78,0.01,1.01018
0.8,0.01,1.011
0.82,0.01,1.01185
0.84,0.01,1.01275
0.86,0.01,1.01369
0.88,0.01,1.01468
0.9,0.01,1.01572
0.92,0.01,1.01681
0.94,0.01,1.01794
0.96,0.01,1.01913
0.98,0.01,1.02037
1,0.01,1.02166
1.02,0.01,1.023
1.04,0.01,1.0244
1.06,0.01,1.02585
1.08,0.01,1.02736
1.1,0.01,1.02892
1.12,0.01,1.03054
1.14,0.01,1.03222
1.16,0.01,1.03396
1.18,0.01,1.03576
1.2,0.01,1.03761
1.22,0.01,1.03953
1.24,0.01,1.0415
1.26,0.01,1.04354
1.28,0.01,1.04563
1.3,0.01,1.04779
1.32,0.01,1.05001
1.34,0.01,1.05228
1.36,0.01,1.05462
1.38,0.01,1.05701
1.4,0.01,1.05946
1.42,0.01,1.06197
1.44,0.01,1.06453
1.46,0.01,1.06715
1.48,0.01,1.06982
1.5,0.01,1.07254
1.52,0.01,1.07531
1.54,0.01,1.07813
1.56,0.01,1.08099
1.58,0.01,1.08389
1.6,0.01,1.08682
1.62,0.01,1.08978
1.64,0.01,1.09277
1.66,0.01,1.09577
1.68,0.01,1.09878
1.7,0.01,1.10179
1.72,0.01,1.10479
1.74,0.01,1.10775
1.76,0.01,1.11067
1.78,0.01,1.11352
1.8,0.01,1.11627
1.82,0.01,1.11889
1.84,0.01,1.12133
1.86,0.01,1.12352
1.88,0.01,1.12536
1.9,0.01,1.12671
1.92,0.01,1.12735
1.94,0.01,1.12684
1.96,0.01,1.12431
1.98,0.01,1.11729
2,0.01,1.10159
0,0.02,1
0.02,0.02,1
0.04,0.02,1.00001
0.06,0.02,1.00002
0.08,0.02,1.00003
0.1,0.02,1.00006
0.12,0.02,1.00009
0.14,0.02,1.00012
0.16,0.02,1.00017
0.18,0.02,1.00023
0.2,0.02,1.0003
0.22,0.02,1.00038
0.24,0.02,1.00048
0.26,0.02,1.0006
0.28,0.02,1.00073
0.3,0.02,1.00088
0.32,0.02,1.00106
0.34,0.02,1.00125
0.36,0.02,1.00146
0.38,0.02,1.0017
0.4,0.02,1.00197
0.42,0.02,1.00226
0.44,0.02,1.00258
0.46,0.02,1.00293
0.48,0.02,1.00331
0.5,0.02,1.00373
0.52,0.02,1.00417
0.54,0.02,1.00466
0.56,0.02,1.00518
0.58,0.02,1.00573
0.6,0.02,1.00633
0.62,0.02,1.00697
0.64,0.02,1.00766
0.66,0.02,1.00838
0.68,0.02,1.00916
0.7,0.02,1.00998
0.72,0.02,1.01085
0.74,0.02,1.01177
0.76,0.02,1.01274
0.78,0.02,1.01376
0.8,0.02,1.01484
0.82,0.02,1.01598
0.84,0.02,1.01717
0.86,0.02,1.01842
0.88,0.02,1.01974
0.9,0.02,1.02111
0.92,0.02,1.02255
0.94,0.02,1.02405
0.96,0.02,1.02562
0.98,0.02,1.02726
1,0.02,1.02896
1.02,0.02,1.03073
1.04,0.02,1.03257
1.06,0.02,1.03449
1.08,0.02,1.03647
1.1,0.02,1.03853
1.12,0.02,1.04067
1.14,0.02,1.04287
1.16,0.02,1.04516
1.18,0.02,1.04752
1.2,0.02,1.04995
1.22,0.02,1.05246
1.24,0.02,1.05505
1.26,0.02,1.05772
1.28,0.02,1.06046
1.3,0.02,1.06328
1.32,0.02,1.06618
1.34,0.02,1.06915
1.36,0.02,1.0722
1.38,0.02,1.07533
1.4,0.02,1.07852
1.42,0.02,1.08179
1.44,0.02,1.08513
1.46,0.02,1.08854
1.48,0.02,1.09201
1.5,0.02,1.09555
1.52,0.02,1.09914
1.54,0.02,1.10279
1.56,0.02,1.10649
1.58,0.02,1.11024
1.6,0.02,1.11403
1.62,0.02,1.11785
1.64,0.02,1.12169
1.66,0.02,1.12555
1.68,0.02,1.1294
1.7,0.02,1.13324
1.72,0.02,1.13705
1.74,0.02,1.14081
1.76,0.02,1.14448
1.78,0.02,1.14804
1.8,0.02,1.15144
1.82,0.02,1.15462
1.84,0.02,1.1575
1.86,0.02,1.15998
1.88,0.02,1.1619
1.9,0.02,1.16299
1.92,0.02,1.16283
1.94,0.02,1.16061
1.96,0.02,1.15455
1.98,0.02,1.14209
2,0.02,1.12475
0,0.03,1
0.02,0.03,1.00001
0.04,0.03,1.00002
0.06,0.03,1.00003
0.08,0.03,1.00006
0.1,0.03,1.00009
0.12,0.03,1.00013
0.14,0.03,1.00018
0.16,0.03,1.00025
0.18,0.03,1.00033
0.2,0.03,1.00042
0.22,0.03,1.00054
0.24,0.03,1.00067
0.26,0.03,1.00082
0.28,0.03,1.001
0.3,0.03,1.0012
0.32,0.03,1.00142
0.34,0.03,1.00167
0.36,0.03,1.00195
0.38,0.03,1.00226
0.4,0.03,1.0026
0.42,0.03,1.00298
0.44,0.03,1.00339
0.46,0.03,1.00384
0.48,0.03,1.00433
0.5,0.03,1.00486
0.52,0.03,1.00543
0.54,0.03,1.00605
0.56,0.03,1.00671
0.58,0.03,1.00742
0.6,0.03,1.00818
0.62,0.03,1.00899
0.64,0.03,1.00986
0.66,0.03,1.01078
0.68,0.03,1.01176
0.7,0.03,1.0128
0.72,0.03,1.0139
0.74,0.03,1.01506
0.76,0.03,1.01628
0.78,0.03,1.01758
0.8,0.03,1.01894
0.82,0.03,1.02036
0.84,0.03,1.02187
0.86,0.03,1.02344
0.88,0.03,1.02509
0.9,0.03,1.02682
0.92,0.03,1.02862
0.94,0.03,1.0305
0.96,0.03,1.03247
0.98,0.03,1.03451
1,0.03,1.03665
1.02,0.03,1.03886
1.04,0.03,1.04117
1.06,0.03,1.04356
1.08,0.03,1.04604
1.1,0.03,1.0486
1.12,0.03,1.05126
1.14,0.03,1.05402
1.16,0.03,1.05686
1.18,0.03,1.0598
1.2,0.03,1.06283
1.22,0.03,1.06595
1.24,0.03,1.06917
1.26,0.03,1.07248
1.28,0.03,1.07589
1.3,0.03,1.07939
1.32,0.03,1.08298
1.34,0.03,1.08666
1.36,0.03,1.09044
1.38,0.03,1.0943
1.4,0.03,1.09826
1.42,0.03,1.1023
1.44,0.03,1.10642
1.46,0.03,1.11062
1.48,0.03,1.1149
1.5,0.03,1.11926
1.52,0.03,1.12368
1.54,0.03,1.12817
1.56,0.03,1.13271
1.58,0.03,1.13731
1.6,0.03,1.14194
1.62,0.03,1.14661
1.64,0.03,1.15129
1.66,0.03,1.15598
1.68,0.03,1.16065
1.7,0.03,1.16529
1.72,0.03,1.16988
1.74,0.03,1.17437
1.76,0.03,1.17873
1.78,0.03,1.18291
1.8,0.03,1.18685
1.82,0.03,1.19045
1.84,0.03,1.19361
1.86,0.03,1.19614
1.88,0.03,1.19779
1.9,0.03,1.19814
1.92,0.03,1.19647
1.94,0.03,1.19146
1.96,0.03,1.18142
1.98,0.03,1.16669
2,0.03,1.14811
0,0.04,1.00001
0.02,0.04,1.00001
0.04,0.04,1.00003
0.06,0.04,1.00005
0.08,0.04,1.00008
0.1,0.04,1.00013
0.12,0.04,1.00018
0.14,0.04,1.00025
0.16,0.04,1.00034
0.18,0.04,1.00044
0.2,0.04,1.00057
0.22,0.04,1.00071
0.24,0.04,1.00088
0.26,0.04,1.00108
0.28,0.04,1.0013
0.3,0.04,1.00155
0.32,0.04,1.00183
0.34,0.04,1.00214
0.36,0.04,1.00249
0.38,0.04,1.00288
0.4,0.04,1.00331
0.42,0.04,1.00377
0.44,0.04,1.00429
0.46,0.04,1.00484
0.48,0.04,1.00544
0.5,0.04,1.0061
0.52,0.04,1.0068
0.54,0.04,1.00756
0.56,0.04,1.00837
0.58,0.04,1.00924
0.6,0.04,1.01018
