x,y,V
0,0,0.9999999993
0.04,0,0.9999999993
0.08,0,0.9999999993
0.12,0,0.9999999993
0.16,0,0.9999999993
0.2,0,0.9999999993
0.24,0,0.9999999993
0.28,0,0.9999999993
0.32,0,0.9999999993
0.36,0,0.9999999993
0.4,0,0.9999999993
0.44,0,0.9999999993
0.48,0,0.9999999993
0.52,0,0.9999999993
0.56,0,0.9999999993
0.6,0,0.9999999993
0.64,0,0.9999999993
0.68,0,0.9999999993
0.72,0,0.9999999993
0.76,0,0.9999999993
0.8,0,0.9999999993
0.84,0,0.9999999993
0.88,0,0.9999999993
0.92,0,0.9999999993
0.96,0,0.9999999993
1,0,0.9999999993
1.04,0,0.9999999993
1.08,0,0.9999999993
1.12,0,0.9999999993
1.16,0,0.9999999993
1.2,0,0.9999999993
1.24,0,0.9999999993
1.28,0,0.9999999993
1.32,0,0.9999999993
1.36,0,0.9999999993
1.4,0,0.9999999993
1.44,0,0.9999999993
1.48,0,0.9999999993
1.52,0,0.9999999993
1.56,0,0.9999999993
1.6,0,0.9999999993
1.64,0,0.9999999993
1.68,0,0.9999999993
1.72,0,0.9999999993
1.76,0,0.9999999993
1.8,0,0.9999999993
1.84,0,0.9999999993
1.88,0,0.9999999993
1.92,0,0.9999999993
1.96,0,0.9999999993
2,0,0.9999999993
0,0.02,0.9999999993
0.04,0.02,-0.002016128409
0.08,0.02,-0.004017824438
0.12,0.02,-0.005989663624
0.16,0.02,-0.007917895694
0.2,0.02,-0.009788618729
0.24,0.02,-0.01158967166
0.28,0.02,-0.01330985777
0.32,0.02,-0.01493863001
0.36,0.02,-0.01646780593
0.4,0.02,-0.01788888556
0.44,0.02,-0.01919446578
0.48,0.02,-0.02037776519
0.52,0.02,-0.02143148665
0.56,0.02,-0.02234836214
0.6,0.02,-0.02312039083
0.64,0.02,-0.02373881243
0.68,0.02,-0.02419328926
0.72,0.02,-0.02447187035
0.76,0.02,-0.0245615068
0.8,0.02,-0.02444572768
0.84,0.02,-0.02410667452
0.88,0.02,-0.02352323284
0.92,0.02,-0.02267124093
0.96,0.02,-0.0215232102
1,0.02,-0.02004762964
1.04,0.02,-0.01821046125
1.08,0.02,-0.01597303531
1.12,0.02,-0.01329213837
1.16,0.02,-0.01012088053
1.2,0.02,-0.006408308286
1.24,0.02,-0.002098463694
1.28,0.02,0.002868287568
1.32,0.02,0.008555161239
1.36,0.02,0.01502974341
1.4,0.02,0.02236444625
1.44,0.02,0.03063549339
1.48,0.02,0.03992555378
1.52,0.02,0.05032628628
1.56,0.02,0.06194442041
1.6,0.02,0.07491256052
1.64,0.02,0.08941059077
1.68,0.02,0.1057044493
1.72,0.02,0.1242215267
1.76,0.02,0.1457062236
1.8,0.02,0.1715606017
1.84,0.02,0.2046926608
1.88,0.02,0.2520198192
1.92,0.02,0.3338218993
1.96,0.02,0.5307811187
2,0.02,1.306201787
0,0.04,0.9999999993
0.04,0.04,-0.004036646161
0.08,0.04,-0.008045702042
0.12,0.04,-0.01199610457
0.16,0.04,-0.01586054199
0.2,0.04,-0.01961078521
0.24,0.04,-0.02322288329
0.28,0.04,-0.02667419055
0.32,0.04,-0.02994398239
0.36,0.04,-0.03301537098
0.4,0.04,-0.03587193229
0.44,0.04,-0.0384985394
0.48,0.04,-0.04088172304
0.52,0.04,-0.04300711864
0.56,0.04,-0.04486020308
0.6,0.04,-0.04642524587
0.64,0.04,-0.04768476579
0.68,0.04,-0.04861815252
0.72,0.04,-0.0492015177
0.76,0.04,-0.04940878958
0.8,0.04,-0.04920787785
0.84,0.04,-0.0485618786
