x,y,V
0,0,1.000000001
0.04,0,1.000000001
0.08,0,1.000000001
0.12,0,1.000000001
0.16,0,1.000000001
0.2,0,1.000000001
0.24,0,1.000000001
0.28,0,1.000000001
0.32,0,1.000000001
0.36,0,1.000000001
0.4,0,1.000000001
0.44,0,1.000000001
0.48,0,1.000000001
0.52,0,1.000000001
0.56,0,1.000000001
0.6,0,1.000000001
0.64,0,1.000000001
0.68,0,1.000000001
0.72,0,1.000000001
0.76,0,1.000000001
0.8,0,1.000000001
0.84,0,1.000000001
0.88,0,1.000000001
0.92,0,1.000000001
0.96,0,1.000000001
1,0,1.000000001
1.04,0,1.000000001
1.08,0,1.000000001
1.12,0,1.000000001
1.16,0,1.000000001
1.2,0,1.000000001
1.24,0,1.000000001
1.28,0,1.000000001
1.32,0,1.000000001
1.36,0,1.000000001
1.4,0,1.000000001
1.44,0,1.000000001
1.48,0,1.000000001
1.52,0,1.000000001
1.56,0,1.000000001
1.6,0,1.000000001
1.64,0,1.000000001
1.68,0,1.000000001
1.72,0,1.000000001
1.76,0,1.000000001
1.8,0,1.000000001
1.84,0,1.000000001
1.88,0,1.000000001
1.92,0,1.000000001
1.96,0,1.000000001
2,0,1.000000001
0,0.02,1.000000001
0.04,0.02,-0.002016516412
0.08,0.02,-0.004018182752
0.12,0.02,-0.005990803326
0.16,0.02,-0.007919209443
0.2,0.02,-0.009790417664
0.24,0.02,-0.0115918645
0.28,0.02,-0.0133124354
0.32,0.02,-0.0149419045
0.36,0.02,-0.01647127927
0.4,0.02,-0.01789293468
0.44,0.02,-0.01919898437
0.48,0.02,-0.02038282415
0.52,0.02,-0.02143689562
0.56,0.02,-0.02235414833
0.6,0.02,-0.02312689752
0.64,0.02,-0.02374561976
0.68,0.02,-0.02420066006
0.72,0.02,-0.02448008586
0.76,0.02,-0.02457026665
0.8,0.02,-0.02445548621
0.84,0.02,-0.02411726451
0.88,0.02,-0.02353469059
0.92,0.02,-0.022683517
0.96,0.02,-0.02153598594
1,0.02,-0.02006151426
1.04,0.02,-0.01822531781
1.08,0.02,-0.01598867722
1.12,0.02,-0.01330877288
1.16,0.02,-0.0101385462
1.2,0.02,-0.006426750245
1.24,0.02,-0.002117843245
1.28,0.02,0.002848025903
1.32,0.02,0.008534007087
1.36,0.02,0.01500786207
1.4,0.02,0.02234169291
1.44,0.02,0.03061222227
1.48,0.02,0.03990185386
1.52,0.02,0.05030211492
1.56,0.02,0.06191971854
1.6,0.02,0.07488787175
1.64,0.02,0.08938642429
1.68,0.02,0.1056804685
1.72,0.02,0.1241979247
1.76,0.02,0.1456838531
1.8,0.02,0.1715398904
1.84,0.02,0.2046734919
1.88,0.02,0.2520030403
1.92,0.02,0.3338080561
1.96,0.02,0.5307711319
2,0.02,1.306196011
0,0.04,1.000000001
0.04,0.04,-0.004037510189
0.08,0.04,-0.008046755402
0.12,0.04,-0.01199867453
0.16,0.04,-0.01586359681
0.2,0.04,-0.01961465205
0.24,0.04,-0.02322731033
0.28,0.04,-0.02667932213
0.32,0.04,-0.02995014723
0.36,0.04,-0.03302205954
0.4,0.04,-0.03587957702
0.44,0.04,-0.03850692678
0.48,0.04,-0.04089128022
0.52,0.04,-0.04301778222
0.56,0.04,-0.04487189722
0.6,0.04,-0.04643852181
0.64,0.04,-0.04769898244
0.68,0.04,-0.04863339432
0.72,0.04,-0.04921831608
0.76,0.04,-0.04942687816
0.8,0.04,-0.049227398
0.84,0.04,-0.04858268486
0.88,0.04,-0.04745185712
0.92,0.04,-0.04578597639
0.96,0.04,-0.04352965599
1,0.04,-0.04062197197
1.04,0.04,-0.03699258233
1.08,0.04,-0.03256493499
1.12,0.04,-0.02725311851
1.16,0.04,-0.02096335495
1.2,0.04,-0.01359303835
1.24,0.04,-0.005030361961
1.28,0.04,0.004843266115
1.32,0.04,0.01615521442
1.36,0.04,0.02904041936
1.4,0.04,0.04364307276
1.44,0.04,0.06011582553
1.48,0.04,0.07862318376
1.52,0.04,0.09934697904
1.56,0.04,0.1224974541
1.6,0.04,0.1483357587
1.64,0.04,0.1772118427
1.68,0.04,0.2096371201
1.72,0.04,0.246429051
1.76,0.04,0.2889917774
1.8,0.04,0.3399161724
1.84,0.04,0.4043927365
1.88,0.04,0.4939192845
1.92,0.04,0.6372941609
1.96,0.04,0.9153286234
2,0.04,1.540951185
0,0.06,1.000000001
0.04,0.06,-0.006066924345
0.08,0.06,-0.01209334996
0.12,0.06,-0.01803481989
0.16,0.06,-0.02384722388
0.2,0.06,-0.02949043615
0.24,0.06,-0.03492694108
0.28,0.06,-0.04012391048
0.32,0.06,-0.0450503755
0.36,0.06,-0.04968014421
0.4,0.06,-0.05398953934
0.44,0.06,-0.05795559256
0.48,0.06,-0.06155900919
0.52,0.06,-0.06477776771
0.56,0.06,-0.06759077409
0.6,0.06,-0.0699747143
0.64,0.06,-0.07190250061
0.68,0.06,-0.0733443284
0.72,0.06,-0.07426502567
0.76,0.06,-0.07462496123
0.8,0.06,-0.07437579605
0.84,0.06,-0.07346311536
0.88,0.06,-0.07182473932
0.92,0.06,-0.06938815582
0.96,0.06,-0.06607058447
1,0.06,-0.06177972035
1.04,0.06,-0.05641159797
1.08,0.06,-0.04985050468
1.12,0.06,-0.04196785161
1.16,0.06,-0.03262308063
1.2,0.06,-0.02166204093
1.24,0.06,-0.008917605229
1.28,0.06,0.00578858209
1.32,0.06,0.02264731911
1.36,0.06,0.04186172697
1.4,0.06,0.063646952
1.44,0.06,0.08823139862
1.48,0.06,0.1158601314
1.52,0.06,0.1468021273
1.56,0.06,0.1813666597
1.6,0.06,0.2199323019
1.64,0.06,0.2630001606
1.68,0.06,0.3112940329
1.72,0.06,0.365949693
1.76,0.06,0.4288792054
1.8,0.06,0.503510982
1.84,0.06,0.5963910426
1.88,0.06,0.7208484433
1.92,0.06,0.9055226412
1.96,0.06,1.211326199
2,0.06,1.733159972
0,0.08,1.000000001
0.04,0.08,-0.008108429355
0.08,0.08,-0.01616541911
0.12,0.08,-0.02411027057
0.16,0.08,-0.03188500812
0.2,0.08,-0.03943512997
0.24,0.08,-0.04671127993
0.28,0.08,-0.05366931924
0.32,0.08,-0.06026819557
0.36,0.08,-0.06647300188
0.4,0.08,-0.07225257918
0.44,0.08,-0.07757682125
0.48,0.08,-0.08241958253
0.52,0.08,-0.08675294764
0.56,0.08,-0.09054881443
0.6,0.08,-0.09377595087
0.64,0.08,-0.09639945042
0.68,0.08,-0.09837974799
0.72,0.08,-0.0996700189
0.76,0.08,-0.1002181247
0.8,0.08,-0.09996041399
0.84,0.08,-0.09882336586
