x,y,V
1,0,0
1.01,0,0.0199007
1.02,0,0.0396053
1.03,0,0.0591176
1.04,0,0.0784414
1.05,0,0.0975803
1.06,0,0.116538
1.07,0,0.135317
1.08,0,0.153922
1.09,0,0.172355
1.1,0,0.19062
1.11,0,0.20872
1.12,0,0.226657
1.13,0,0.244435
1.14,0,0.262057
1.15,0,0.279524
1.16,0,0.29684
1.17,0,0.314007
1.18,0,0.331029
1.19,0,0.347907
1.2,0,0.364643
1.21,0,0.381241
1.22,0,0.397702
1.23,0,0.414028
1.24,0,0.430223
1.25,0,0.446287
1.26,0,0.462223
1.27,0,0.478034
1.28,0,0.49372
1.29,0,0.509284
1.3,0,0.524729
1.31,0,0.540054
1.32,0,0.555263
1.33,0,0.570358
1.34,0,0.585339
1.35,0,0.600209
1.36,0,0.614969
1.37,0,0.629621
1.38,0,0.644167
1.39,0,0.658607
1.4,0,0.672944
1.41,0,0.687179
1.42,0,0.701314
1.43,0,0.715349
1.44,0,0.729286
1.45,0,0.743127
1.46,0,0.756873
1.47,0,0.770525
1.48,0,0.784084
1.49,0,0.797552
1.5,0,0.81093
1.51,0,0.824219
1.52,0,0.837421
1.53,0,0.850535
1.54,0,0.863565
1.55,0,0.87651
1.56,0,0.889372
1.57,0,0.902151
1.58,0,0.91485
1.59,0,0.927468
1.6,0,0.940007
1.61,0,0.952468
1.62,0,0.964852
1.63,0,0.97716
1.64,0,0.989392
1.65,0,1.00155
1.66,0,1.01364
1.67,0,1.02565
1.68,0,1.03759
1.69,0,1.04946
1.7,0,1.06126
1.71,0,1.07299
1.72,0,1.08465
1.73,0,1.09624
1.74,0,1.10777
1.75,0,1.11923
1.76,0,1.13063
1.77,0,1.14196
1.78,0,1.15323
1.79,0,1.16443
1.8,0,1.17557
1.81,0,1.18665
1.82,0,1.19767
1.83,0,1.20863
1.84,0,1.21953
1.85,0,1.23037
1.86,0,1.24115
1.87,0,1.25188
1.88,0,1.26254
1.89,0,1.27315
1.9,0,1.28371
1.91,0,1.29421
1.92,0,1.30465
1.93,0,1.31504
1.94,0,1.32538
1.95,0,1.33566
1.96,0,1.34589
1.97,0,1.35607
1.98,0,1.36619
1.99,0,1.37627
2,0,1.38629
1,0.01,9.9995e-05
1.01,0.01,0.0199986
1.02,0.01,0.0397013
1.03,0.01,0.0592117
1.04,0.01,0.0785337
1.05,0.01,0.0976708
1.06,0.01,0.116627
1.07,0.01,0.135404
1.08,0.01,0.154008
1.09,0.01,0.172439
1.1,0.01,0.190703
1.11,0.01,0.208801
1.12,0.01,0.226737
1.13,0.01,0.244513
1.14,0.01,0.262133
1.15,0.01,0.279599
1.16,0.01,0.296914
1.17,0.01,0.31408
1.18,0.01,0.3311
1.19,0.01,0.347977
1.2,0.01,0.364712
1.21,0.01,0.381308
1.22,0.01,0.397768
1.23,0.01,0.414094
1.24,0.01,0.430287
1.25,0.01,0.44635
1.26,0.01,0.462286
1.27,0.01,0.478095
1.28,0.01,0.493781
1.29,0.01,0.509344
1.3,0.01,0.524787
1.31,0.01,0.540112
1.32,0.01,0.55532
1.33,0.01,0.570414
1.34,0.01,0.585394
1.35,0.01,0.600263
1.36,0.01,0.615023
1.37,0.01,0.629674
1.38,0.01,0.644219
1.39,0.01,0.658659
1.4,0.01,0.672995
1.41,0.01,0.687229
1.42,0.01,0.701363
1.43,0.01,0.715397
1.44,0.01,0.729334
1.45,0.01,0.743174
1.46,0.01,0.756919
1.47,0.01,0.77057
1.48,0.01,0.784129
1.49,0.01,0.797597
1.5,0.01,0.810974
1.51,0.01,0.824262
1.52,0.01,0.837463
1.53,0.01,0.850577
1.54,0.01,0.863606
1.55,0.01,0.876551
1.56,0.01,0.889412
1.57,0.01,0.902191
1.58,0.01,0.914889
1.59,0.01,0.927507
1.6,0.01,0.940046
1.61,0.01,0.952506
1.62,0.01,0.96489
1.63,0.01,0.977197
1.64,0.01,0.989429
1.65,0.01,1.00159
1.66,0.01,1.01367
1.67,0.01,1.02568
1.68,0.01,1.03762
1.69,0.01,1.04949
1.7,0.01,1.06129
1.71,0.01,1.07302
1.72,0.01,1.08468
1.73,0.01,1.09628
1.74,0.01,1.1078
1.75,0.01,1.11926
1.76,0.01,1.13066
1.77,0.01,1.14199
1.78,0.01,1.15326
1.79,0.01,1.16446
1.8,0.01,1.1756
1.81,0.01,1.18668
1.82,0.01,1.1977
1.83,0.01,1.20866
1.84,0.01,1.21956
1.85,0.01,1.2304
1.86,0.01,1.24118
1.87,0.01,1.25191
1.88,0.01,1.26257
1.89,0.01,1.27318
1.9,0.01,1.28374
1.91,0.01,1.29423
1.92,0.01,1.30468
1.93,0.01,1.31507
1.94,0.01,1.3254
1.95,0.01,1.33568
1.96,0.01,1.34591
1.97,0.01,1.35609
1.98,0.01,1.36622
1.99,0.01,1.37629
2,0.01,1.38632
1,0.02,0.00039992
1.01,0.02,0.0202926
1.02,0.02,0.0399895
1.03,0.02,0.0594943
1.04,0.02,0.0788108
1.05,0.02,0.0979427
1.06,0.02,0.116893
1.07,0.02,0.135666
1.08,0.02,0.154264
1.09,0.02,0.172691
1.1,0.02,0.19095
1.11,0.02,0.209044
1.12,0.02,0.226975
1.13,0.02,0.244748
1.14,0.02,0.262363
1.15,0.02,0.279825
1.16,0.02,0.297136
1.17,0.02,0.314299
1.18,0.02,0.331315
1.19,0.02,0.348188
1.2,0.02,0.36492
1.21,0.02,0.381513
1.22,0.02,0.397969
1.23,0.02,0.414292
1.24,0.02,0.430482
1.25,0.02,0.446542
1.26,0.02,0.462474
1.27,0.02,0.478281
1.28,0.02,0.493963
1.29,0.02,0.509523
1.3,0.02,0.524964
1.31,0.02,0.540286
1.32,0.02,0.555492
1.33,0.02,0.570583
1.34,0.02,0.585561
1.35,0.02,0.600427
1.36,0.02,0.615184
1.37,0.02,0.629833
1.38,0.02,0.644376
1.39,0.02,0.658813
1.4,0.02,0.673147
1.41,0.02,0.687379
1.42,0.02,0.701511
1.43,0.02,0.715543
1.44,0.02,0.729478
1.45,0.02,0.743316
1.46,0.02,0.757059
1.47,0.02,0.770708
1.48,0.02,0.784265
1.49,0.02,0.797731
1.5,0.02,0.811106
1.51,0.02,0.824393
1.52,0.02,0.837592
1.53,0.02,0.850705
1.54,0.02,0.863732
1.55,0.02,0.876675
1.56,0.02,0.889535
1.57,0.02,0.902312
1.58,0.02,0.915008
1.59,0.02,0.927625
1.6,0.02,0.940162
1.61,0.02,0.952621
1.62,0.02,0.965003
1.63,0.02,0.977309
1.64,0.02,0.98954
1.65,0.02,1.0017
1.66,0.02,1.01378
1.67,0.02,1.02579
1.68,0.02,1.03773
1.69,0.02,1.0496
1.7,0.02,1.06139
1.71,0.02,1.07312
1.72,0.02,1.08478
1.73,0.02,1.09638
1.74,0.02,1.1079
1.75,0.02,1.11936
1.76,0.02,1.13076
1.77,0.02,1.14209
1.78,0.02,1.15335
1.79,0.02,1.16456
1.8,0.02,1.1757
1.81,0.02,1.18677
1.82,0.02,1.19779
1.83,0.02,1.20875
1.84,0.02,1.21965
1.85,0.02,1.23049
1.86,0.02,1.24127
1.87,0.02,1.25199
1.88,0.02,1.26266
1.89,0.02,1.27327
1.9,0.02,1.28382
1.91,0.02,1.29432
1.92,0.02,1.30476
1.93,0.02,1.31515
1.94,0.02,1.32548
1.95,0.02,1.33576
1.96,0.02,1.34599
1.97,0.02,1.35617
1.98,0.02,1.3663
1.99,0.02,1.37637
