x,y,V,Exact,Error
0,0,-inf,-inf,-nan
0.04,0,-6.43775,-6.43775,0
0.08,0,-5.05146,-5.05146,0
0.12,0,-4.24053,-4.24053,0
0.16,0,-3.66516,-3.66516,0
0.2,0,-3.21888,-3.21888,0
0.24,0,-2.85423,-2.85423,0
0.28,0,-2.54593,-2.54593,0
0.32,0,-2.27887,-2.27887,0
0.36,0,-2.0433,-2.0433,0
0.4,0,-1.83258,-1.83258,0
0.44,0,-1.64196,-1.64196,0
0.48,0,-1.46794,-1.46794,0
0.52,0,-1.30785,-1.30785,0
0.56,0,-1.15964,-1.15964,0
0.6,0,-1.02165,-1.02165,0
0.64,0,-0.892574,-0.892574,0
0.68,0,-0.771325,-0.771325,0
0.72,0,-0.657008,-0.657008,0
0.76,0,-0.548874,-0.548874,0
0.8,0,-0.446287,-0.446287,0
0.84,0,-0.348707,-0.348707,0
0.88,0,-0.255667,-0.255667,0
0.92,0,-0.166763,-0.166763,0
0.96,0,-0.081644,-0.081644,0
1,0,0,0,0
1.04,0,0.0784414,0.0784414,0
1.08,0,0.153922,0.153922,0
1.12,0,0.226657,0.226657,0
1.16,0,0.29684,0.29684,0
1.2,0,0.364643,0.364643,0
1.24,0,0.430223,0.430223,0
1.28,0,0.49372,0.49372,0
1.32,0,0.555263,0.555263,0
1.36,0,0.614969,0.614969,0
1.4,0,0.672944,0.672944,0
1.44,0,0.729286,0.729286,0
1.48,0,0.784084,0.784084,0
1.52,0,0.837421,0.837421,0
1.56,0,0.889372,0.889372,0
1.6,0,0.940007,0.940007,0
1.64,0,0.989392,0.989392,0
1.68,0,1.03759,1.03759,0
1.72,0,1.08465,1.08465,0
1.76,0,1.13063,1.13063,0
1.8,0,1.17557,1.17557,0
1.84,0,1.21953,1.21953,0
1.88,0,1.26254,1.26254,0
1.92,0,1.30465,1.30465,0
1.96,0,1.34589,1.34589,0
2,0,1.38629,1.38629,0
0,0.02,-7.82405,-7.82405,0
0.04,0.02,-6.1115,-6.21461,0.103109
0.08,0.02,-4.96731,-4.99083,0.0235265
0.12,0.02,-4.20495,-4.21313,0.00817551
0.16,0.02,-3.64585,-3.64966,0.00381311
0.2,0.02,-3.20681,-3.20893,0.00211393
0.24,0.02,-2.84601,-2.84731,0.00130539
0.28,0.02,-2.53997,-2.54084,0.000867304
0.32,0.02,-2.27436,-2.27497,0.000607518
0.36,0.02,-2.03978,-2.04022,0.000442861
0.4,0.02,-1.82975,-1.83008,0.000333012
0.44,0.02,-1.63964,-1.6399,0.00025668
0.48,0.02,-1.466,-1.4662,0.000201847
0.52,0.02,-1.30621,-1.30637,0.000161358
0.56,0.02,-1.15823,-1.15836,0.000130758
0.6,0.02,-1.02043,-1.02054,0.000107171
0.64,0.02,-0.891509,-0.891598,8.86783e-05
0.68,0.02,-0.770386,-0.77046,7.39649e-05
0.72,0.02,-0.656175,-0.656237,6.21084e-05
0.76,0.02,-0.548129,-0.548181,5.24472e-05
0.8,0.02,-0.445618,-0.445662,4.44981e-05
0.84,0.02,-0.348102,-0.34814,3.79021e-05
0.88,0.02,-0.255118,-0.25515,3.2388e-05
0.92,0.02,-0.166263,-0.166291,2.77486e-05
0.96,0.02,-0.0811862,-0.0812101,2.38229e-05
1,0.02,0.000420405,0.00039992,2.04849e-05
1.04,0.02,0.0788288,0.0788112,1.76344e-05
1.08,0.02,0.15428,0.154265,1.51912e-05
1.12,0.02,0.226989,0.226976,1.30905e-05
1.16,0.02,0.297149,0.297137,1.12793e-05
1.2,0.02,0.364931,0.364921,9.71407e-06
1.24,0.02,0.430491,0.430483,8.35862e-06
1.28,0.02,0.493971,0.493964,7.18283e-06
1.32,0.02,0.555499,0.555493,6.16138e-06
1.36,0.02,0.615191,0.615186,5.27287e-06
1.4,0.02,0.673153,0.673149,4.49912e-06
1.44,0.02,0.729483,0.729479,3.82463e-06
1.48,0.02,0.78427,0.784267,3.23612e-06
1.52,0.02,0.837597,0.837594,2.72216e-06
1.56,0.02,0.889538,0.889536,2.27293e-06
1.6,0.02,0.940165,0.940163,1.87996e-06
1.64,0.02,0.989543,0.989541,1.53593e-06
1.68,0.02,1.03773,1.03773,1.23461e-06
1.72,0.02,1.08478,1.08478,9.70705e-07
1.76,0.02,1.13076,1.13076,7.39837e-07
1.8,0.02,1.1757,1.1757,5.38598e-07
1.84,0.02,1.21965,1.21965,3.64705e-07
1.88,0.02,1.26266,1.26266,2.17431e-07
1.92,0.02,1.30476,1.30476,9.87329e-08
1.96,0.02,1.34599,1.34599,1.67147e-08
2,0.02,1.38639,1.38639,0
0,0.04,-6.43775,-6.43775,0
0.04,0.04,-5.64316,-5.7446,0.101447
0.08,0.04,-4.7877,-4.82831,0.0406184
0.12,0.04,-4.11857,-4.13517,0.0166001
0.16,0.04,-3.59651,-3.60454,0.00802819
0.2,0.04,-3.17519,-3.17966,0.00446515
0.24,0.04,-2.82409,-2.82683,0.00274589
0.28,0.04,-2.52391,-2.52573,0.00181487
0.32,0.04,-2.2621,-2.26336,0.00126516
0.36,0.04,-2.03011,-2.03103,0.000918474
0.4,0.04,-1.82194,-1.82263,0.00068827
0.44,0.04,-1.6332,-1.63373,0.000528976
0.48,0.04,-1.4606,-1.46102,0.000414969
0.52,0.04,-1.30162,-1.30195,0.000331055
0.56,0.04,-1.15428,-1.15455,0.000267815
0.6,0.04,-1.017,-1.01722,0.000219187
0.64,0.04,-0.888494,-0.888676,0.000181143
0.68,0.04,-0.76772,-0.767871,0.000150931
0.72,0.04,-0.6538,-0.653926,0.000126626
0.76,0.04,-0.546001,-0.546107,0.000106851
0.8,0.04,-0.4437,-0.44379,9.06014e-05
0.84,0.04,-0.346365,-0.346442,7.71332e-05
0.88,0.04,-0.253537,-0.253603,6.58859e-05
0.92,0.04,-0.164818,-0.164875,5.64312e-05
0.96,0.04,-0.0798609,-0.0799094,4.84376e-05
1,0.04,0.00164037,0.00159872,4.16453e-05
1.04,0.04,0.0799555,0.0799196,3.58488e-05
1.08,0.04,0.155324,0.155293,3.08833e-05
1.12,0.04,0.227959,0.227932,2.66158e-05
1.16,0.04,0.298051,0.298028,2.2938e-05
1.2,0.04,0.365773,0.365754,1.97606e-05
1.24,0.04,0.43128,0.431263,1.701e-05
1.28,0.04,0.494711,0.494696,1.46245e-05
1.32,0.04,0.556194,0.556181,1.25526e-05
1.36,0.04,0.615845,0.615834,1.07505e-05
1.4,0.04,0.67377,0.67376,9.18134e-06
1.44,0.04,0.730065,0.730058,7.81354e-06
1.48,0.04,0.784821,0.784814,6.62009e-06
1.52,0.04,0.838119,0.838113,5.5778e-06
1.56,0.04,0.890034,0.890029,4.66671e-06
1.6,0.04,0.940636,0.940632,3.86959e-06
1.64,0.04,0.98999,0.989987,3.17165e-06
1.68,0.04,1.03816,1.03815,2.56019e-06
1.72,0.04,1.08519,1.08519,2.02446e-06
1.76,0.04,1.13115,1.13114,1.55556e-06
1.8,0.04,1.17607,1.17607,1.14649e-06
1.84,0.04,1.22,1.22,7.92483e-07
1.88,0.04,1.263,1.263,4.91701e-07
1.92,0.04,1.30508,1.30508,2.47113e-07
1.96,0.04,1.34631,1.34631,7.12667e-08
2,0.04,1.38669,1.38669,0
0,0.06,-5.62682,-5.62682,0
0.04,0.06,-5.19003,-5.2591,0.069063
0.08,0.06,-4.5615,-4.60517,0.0436692
0.12,0.06,-3.99541,-4.01738,0.0219714
0.16,0.06,-3.52199,-3.53359,0.011596
0.2,0.06,-3.12601,-3.1327,0.00668428
0.24,0.06,-2.78944,-2.79361,0.00417128
0.28,0.06,-2.49826,-2.50104,0.00277335
0.32,0.06,-2.24238,-2.24432,0.00193747
0.36,0.06,-2.0145,-2.0159,0.00140719
0.4,0.06,-1.80928,-1.81033,0.00105416
0.44,0.06,-1.62273,-1.62354,0.000809654
0.48,0.06,-1.4518,-1.45243,0.000634662
0.52,0.06,-1.29412,-1.29463,0.00050592
0.56,0.06,-1.14781,-1.14822,0.000408964
0.6,0.06,-1.01137,-1.0117,0.000334472
0.64,0.06,-0.883547,-0.883824,0.000276242
0.68,0.06,-0.76334,-0.76357,0.000230041
0.72,0.06,-0.649895,-0.650088,0.000192902
0.76,0.06,-0.542498,-0.54266,0.000162709
0.8,0.06,-0.44054,-0.440678,0.000137916
0.84,0.06,-0.3435,-0.343618,0.000117382
0.88,0.06,-0.250929,-0.251029,0.000100244
0.92,0.06,-0.162433,-0.162519,8.58453e-05
0.96,0.06,-0.0776717,-0.0777453,7.36783e-05
1,0.06,0.00365688,0.00359354,6.33447e-05
1.04,0.06,0.0818188,0.0817643,5.45296e-05
1.08,0.06,0.157051,0.157004,4.69812e-05
1.12,0.06,0.229564,0.229523,4.0496e-05
1.16,0.06,0.299547,0.299512,3.49083e-05
1.2,0.06,0.36717,0.36714,3.00823e-05
1.24,0.06,0.432587,0.432561,2.59051e-05
1.28,0.06,0.495937,0.495915,2.22831e-05
1.32,0.06,0.557347,0.557327,1.91375e-05
1.36,0.06,0.61693,0.616914,1.64018e-05
1.4,0.06,0.674794,0.67478,1.40198e-05
1.44,0.06,0.731033,0.731021,1.19435e-05
1.48,0.06,0.785736,0.785726,1.01319e-05
1.52,0.06,0.838986,0.838978,8.54954e-06
1.56,0.06,0.890857,0.89085,7.16622e-06
1.6,0.06,0.941418,0.941413,5.95578e-06
1.64,0.06,0.990735,0.99073,4.89571e-06
1.68,0.06,1.03887,1.03886,3.96672e-06
1.72,0.06,1.08587,1.08586,3.15244e-06
1.76,0.06,1.13179,1.13179,2.43928e-06
1.8,0.06,1.17669,1.17668,1.81647e-06
1.84,0.06,1.2206,1.22059,1.27644e-06
1.88,0.06,1.26356,1.26356,8.15689e-07
1.92,0.06,1.30563,1.30563,4.36935e-07
1.96,0.06,1.34683,1.34683,1.53668e-07
2,0.06,1.38719,1.38719,0
0,0.08,-5.05146,-5.05146,0
0.04,0.08,-4.78485,-4.82831,0.0434679
0.08,0.08,-4.3197,-4.35831,0.0386144
0.12,0.08,-3.84909,-3.8728,0.0237112
0.16,0.08,-3.42811,-3.44202,0.0139096
0.2,0.08,-3.06199,-3.07046,0.008468
0.24,0.08,-2.74344,-2.74887,0.00543716
0.28,0.08,-2.46379,-2.46746,0.00367068
0.32,0.08,-2.21566,-2.21824,0.00258613
0.36,0.08,-1.99321,-1.9951,0.00188734
0.4,0.08,-1.79194,-1.79336,0.00141775
0.44,0.08,-1.60835,-1.60944,0.00109064
0.48,0.08,-1.43968,-1.44054,0.000855668
0.52,0.08,-1.28378,-1.28446,0.000682412
0.56,0.08,-1.13888,-1.13943,0.000551751
0.6,0.08,-1.00358,-1.00403,0.000451278
0.64,0.08,-0.876697,-0.87707,0.000372705
0.68,0.08,-0.757269,-0.757579,0.000310348
0.72,0.08,-0.644478,-0.644738,0.000260221
0.76,0.08,-0.537635,-0.537854,0.000219471
0.8,0.08,-0.436151,-0.436337,0.000186014
0.84,0.08,-0.339519,-0.339677,0.000158309
0.88,0.08,-0.247301,-0.247436,0.000135191
0.92,0.08,-0.159114,-0.15923,0.000115772
0.96,0.08,-0.0746242,-0.0747235,9.9367e-05
1,0.08,0.00646504,0.00637961,8.54367e-05
1.04,0.08,0.0844147,0.0843411,7.35557e-05
1.08,0.08,0.159457,0.159394,6.33837e-05
1.12,0.08,0.231801,0.231746,5.4646e-05
1.16,0.08,0.301632,0.301585,4.71187e-05
1.2,0.08,0.369118,0.369078,4.06181e-05
1.24,0.08,0.434411,0.434376,3.49922e-05
1.28,0.08,0.497649,0.497619,3.01142e-05
1.32,0.08,0.558956,0.55893,2.58781e-05
1.36,0.08,0.618446,0.618424,2.21941e-05
1.4,0.08,0.676223,0.676204,1.89865e-05
1.44,0.08,0.732384,0.732368,1.61903e-05
1.48,0.08,0.787016,0.787002,1.37504e-05
1.52,0.08,0.840199,0.840187,1.16191e-05
1.56,0.08,0.892008,0.891998,9.75565e-06
1.6,0.08,0.942512,0.942504,8.12477e-06
1.64,0.08,0.991776,0.991769,6.69615e-06
1.68,0.08,1.03986,1.03985,5.44375e-06
1.72,0.08,1.08681,1.08681,4.34547e-06
1.76,0.08,1.13269,1.13269,3.38285e-06
1.8,0.08,1.17755,1.17755,2.54115e-06
1.84,0.08,1.22142,1.22142,1.80964e-06
1.88,0.08,1.26435,1.26435,1.18258e-06
1.92,0.08,1.30639,1.30638,6.61193e-07
1.96,0.08,1.34755,1.34755,2.57382e-07
2,0.08,1.38789,1.38789,0
0,0.1,-4.60517,-4.60517,0
0.04,0.1,-4.42929,-4.45675,0.0274576
0.08,0.1,-4.07925,-4.11047,0.0312199
0.12,0.1,-3.69036,-3.71317,0.022808
0.16,0.1,-3.32051,-3.33541,0.0148955
0.2,0.1,-2.98607,-2.99573,0.00966277
0.24,0.1,-2.68771,-2.69415,0.00644073
0.28,0.1,-2.42144,-2.42588,0.00444657
0.32,0.1,-2.18252,-2.18569,0.00317606
0.36,0.1,-1.96664,-1.96897,0.00233799
0.4,0.1,-1.77019,-1.77196,0.00176613
0.44,0.1,-1.59023,-1.5916,0.00136366
0.48,0.1,-1.42438,-1.42545,0.00107254
0.52,0.1,-1.27068,-1.27154,0.00085683
0.56,0.1,-1.12755,-1.12825,0.000693591
0.6,0.1,-0.993685,-0.994252,0.00056776
0.64,0.1,-0.867984,-0.868453,0.000469182
0.68,0.1,-0.749538,-0.749929,0.00039085
0.72,0.1,-0.637574,-0.637902,0.000327824
0.76,0.1,-0.531432,-0.531709,0.000276554
0.8,0.1,-0.430548,-0.430783,0.000234441
0.84,0.1,-0.334434,-0.334634,0.000199556
0.88,0.1,-0.242666,-0.242836,0.000170441
0.92,0.1,-0.154872,-0.155018,0.000145982
0.96,0.1,-0.0707264,-0.0708517,0.000125316
1,0.1,0.0100581,0.00995033,0.000107767
1.04,0.1,0.0877373,0.0876445,9.27991e-05
1.08,0.1,0.162539,0.162459,7.99844e-05
1.12,0.1,0.234667,0.234598,6.89766e-05
1.16,0.1,0.304304,0.304244,5.94938e-05
1.2,0.1,0.371615,0.371564,5.13044e-05
1.24,0.1,0.43675,0.436705,4.42169e-05
1.28,0.1,0.499843,0.499805,3.80716e-05
1.32,0.1,0.561019,0.560986,3.27347e-05
1.36,0.1,0.62039,0.620361,2.80934e-05
1.4,0.1,0.678058,0.678034,2.40518e-05
1.44,0.1,0.734118,0.734097,2.05285e-05
1.48,0.1,0.788657,0.788639,1.74537e-05
1.52,0.1,0.841754,0.84174,1.47675e-05
1.56,0.1,0.893485,0.893472,1.24185e-05
1.6,0.1,0.943916,0.943906,1.03623e-05
1.64,0.1,0.993112,0.993104,8.56054e-06
1.68,0.1,1.04113,1.04112,6.98045e-06
1.72,0.1,1.08803,1.08802,5.59404e-06
1.76,0.1,1.13386,1.13385,4.37788e-06
1.8,0.1,1.17866,1.17865,3.313e-06
1.84,0.1,1.22248,1.22248,2.38522e-06
1.88,0.1,1.26537,1.26537,1.58597e-06
1.92,0.1,1.30736,1.30736,9.13921e-07
1.96,0.1,1.34849,1.34849,3.7781e-07
2,0.1,1.38879,1.38879,0
0,0.12,-4.24053,-4.24053,0
0.04,0.12,-4.11728,-4.13517,0.0178869
0.08,0.12,-3.84853,-3.8728,0.024277
0.12,0.12,-3.52688,-3.54738,0.0205026
0.16,0.12,-3.20407,-3.21888,0.0148086
0.2,0.12,-2.90113,-2.91139,0.0102604
0.24,0.12,-2.62395,-2.63109,0.00713433
0.28,0.12,-2.37225,-2.37731,0.0050613
0.32,0.12,-2.14361,-2.14729,0.00368001
0.36,0.12,-1.9352,-1.93794,0.00274129
0.4,0.12,-1.74432,-1.7464,0.00208758
0.44,0.12,-1.5686,-1.57022,0.00162095
0.48,0.12,-1.40603,-1.40731,0.00128
0.52,0.12,-1.25494,-1.25597,0.00102552
0.56,0.12,-1.11391,-1.11474,0.000831899
0.6,0.12,-0.981748,-0.982431,0.00068205
0.64,0.12,-0.857458,-0.858022,0.000564301
0.68,0.12,-0.740188,-0.740658,0.00047052
0.72,0.12,-0.629214,-0.629609,0.000394931
0.76,0.12,-0.523915,-0.524249,0.000333357
0.8,0.12,-0.423754,-0.424036,0.000282727
0.84,0.12,-0.328263,-0.328504,0.000240752
0.88,0.12,-0.237037,-0.237242,0.000205697
0.92,0.12,-0.149717,-0.149893,0.000176234
0.96,0.12,-0.0659885,-0.0661398,0.000151329
1,0.12,0.0144275,0.0142973,0.000130175
1.04,0.12,0.0917793,0.0916672,0.000112127
1.08,0.12,0.166289,0.166192,9.66728e-05
1.12,0.12,0.238155,0.238072,8.33953e-05
1.16,0.12,0.307557,0.307485,7.19556e-05
1.2,0.12,0.374656,0.374593,6.20751e-05
1.24,0.12,0.439598,0.439544,5.3523e-05
1.28,0.12,0.502517,0.502471,4.61072e-05
