x,y,V,Exact,Error,Boundary
0,0,-inf,-inf,-nan,1
0.04,0,-26.5934,-6.43775,-20.1556,1
0.08,0,-20.5958,-5.05146,-15.5444,1
0.12,0,-17.2105,-4.24053,-12.9699,1
0.16,0,-14.8422,-3.66516,-11.177,1
0.2,0,-13.0184,-3.21888,-9.79957,1
0.24,0,-11.5347,-2.85423,-8.68051,1
0.28,0,-10.2839,-2.54593,-7.73798,1
0.32,0,-9.2026,-2.27887,-6.92374,1
0.36,0,-8.25029,-2.0433,-6.20699,1
0.4,0,-7.39943,-1.83258,-5.56685,1
0.44,0,-6.63047,-1.64196,-4.98851,1
0.48,0,-5.92901,-1.46794,-4.46107,1
0.52,0,-5.28414,-1.30785,-3.97629,1
0.56,0,-4.68742,-1.15964,-3.52778,1
0.6,0,-4.13214,-1.02165,-3.11049,1
0.64,0,-3.61292,-0.892574,-2.72035,1
0.68,0,-3.12537,-0.771325,-2.35404,1
0.72,0,-2.66583,-0.657008,-2.00882,1
0.76,0,-2.23127,-0.548874,-1.68239,1
0.8,0,-1.8191,-0.446287,-1.37281,1
0.84,0,-1.42713,-0.348707,-1.07843,1
0.88,0,-1.05348,-0.255667,-0.797814,1
0.92,0,-0.696506,-0.166763,-0.529743,1
0.96,0,-0.354784,-0.081644,-0.27314,1
1,0,-0.0270633,0,-0.0270633,1
1.04,0,0.287758,0.0784414,0.209316,1
1.08,0,0.590657,0.153922,0.436734,1
1.12,0,0.882503,0.226657,0.655846,1
1.16,0,1.16408,0.29684,0.867236,1
1.2,0,1.43607,0.364643,1.07143,1
1.24,0,1.69913,0.430223,1.2689,1
1.28,0,1.9538,0.49372,1.46008,1
1.32,0,2.20062,0.555263,1.64536,1
1.36,0,2.44005,0.614969,1.82508,1
1.4,0,2.67253,0.672944,1.99958,1
1.44,0,2.89843,0.729286,2.16915,1
1.48,0,3.11814,0.784084,2.33405,1
1.52,0,3.33197,0.837421,2.49455,1
1.56,0,3.54023,0.889372,2.65086,1
1.6,0,3.74321,0.940007,2.8032,1
1.64,0,3.94116,0.989392,2.95177,1
1.68,0,4.13434,1.03759,3.09675,1
1.72,0,4.32296,1.08465,3.23831,1
1.76,0,4.50723,1.13063,3.3766,1
1.8,0,4.68736,1.17557,3.51178,1
1.84,0,4.86351,1.21953,3.64398,1
1.88,0,5.03588,1.26254,3.77333,1
1.92,0,5.2046,1.30465,3.89995,1
1.96,0,5.36985,1.34589,4.02396,1
2,0,4.13881,1.38629,2.75251,1
0,0.02,-30.7407,-7.82405,-22.9167,1
0.04,0.02,-6.17012,-6.21461,0.0444925,0
0.08,0.02,-4.99087,-4.99083,-3.93223e-05,0
0.12,0.02,-4.21571,-4.21313,-0.00258173,0
0.16,0.02,-3.65183,-3.64966,-0.00217526,0
0.2,0.02,-3.21059,-3.20893,-0.00166559,0
0.24,0.02,-2.84859,-2.84731,-0.00128262,0
0.28,0.02,-2.54185,-2.54084,-0.00100867,0
0.32,0.02,-2.27578,-2.27497,-0.000810718,0
0.36,0.02,-2.04089,-2.04022,-0.000664527,0
0.4,0.02,-1.83064,-1.83008,-0.000554062,0
0.44,0.02,-1.64037,-1.6399,-0.000468801,0
0.48,0.02,-1.46661,-1.4662,-0.000401731,0
0.52,0.02,-1.30672,-1.30637,-0.000348077,0
0.56,0.02,-1.15867,-1.15836,-0.000304514,0
0.6,0.02,-1.02081,-1.02054,-0.000268677,0
0.64,0.02,-0.891837,-0.891598,-0.000238849,0
0.68,0.02,-0.770674,-0.77046,-0.000213761,0
0.72,0.02,-0.656429,-0.656237,-0.000192461,0
0.76,0.02,-0.548356,-0.548181,-0.000174224,0
0.8,0.02,-0.445821,-0.445662,-0.000158488,0
0.84,0.02,-0.348285,-0.34814,-0.000144814,0
0.88,0.02,-0.255283,-0.25515,-0.000132857,0
0.92,0.02,-0.166413,-0.166291,-0.000122338,0
0.96,0.02,-0.0813231,-0.0812101,-0.000113035,0
1,0.02,0.000295155,0.00039992,-0.000104765,0
1.04,0.02,0.0787138,0.0788112,-9.73802e-05,0
1.08,0.02,0.154174,0.154265,-9.07569e-05,0
1.12,0.02,0.226891,0.226976,-8.47929e-05,0
1.16,0.02,0.297058,0.297137,-7.94024e-05,0
1.2,0.02,0.364846,0.364921,-7.45134e-05,0
1.24,0.02,0.430413,0.430483,-7.00647e-05,0
1.28,0.02,0.493898,0.493964,-6.60045e-05,0
1.32,0.02,0.555431,0.555493,-6.22882e-05,0
1.36,0.02,0.615127,0.615186,-5.88777e-05,0
1.4,0.02,0.673093,0.673149,-5.574e-05,0
1.44,0.02,0.729426,0.729479,-5.28465e-05,0
1.48,0.02,0.784217,0.784267,-5.01723e-05,0
