x,y,V
0,0,1
0.02,0,1
0.04,0,1
0.06,0,1
0.08,0,1
0.1,0,1
0.12,0,1
0.14,0,1
0.16,0,1
0.18,0,1
0.2,0,1
0.22,0,1
0.24,0,1
0.26,0,1
0.28,0,1
0.3,0,1
0.32,0,1
0.34,0,1
0.36,0,1
0.38,0,1
0.4,0,1
0.42,0,1
0.44,0,1
0.46,0,1
0.48,0,1
0.5,0,1
0.52,0,1
0.54,0,1
0.56,0,1
0.58,0,1
0.6,0,1
0.62,0,1
0.64,0,1
0.66,0,1
0.68,0,1
0.7,0,1
0.72,0,1
0.74,0,1
0.76,0,1
0.78,0,1
0.8,0,1
0.82,0,1
0.84,0,1
0.86,0,1
0.88,0,1
0.9,0,1
0.92,0,1
0.94,0,1
0.96,0,1
0.98,0,1
1,0,1
1.02,0,1
1.04,0,1
1.06,0,1
1.08,0,1
1.1,0,1
1.12,0,1
1.14,0,1
1.16,0,1
1.18,0,1
1.2,0,1
1.22,0,1
1.24,0,1
1.26,0,1
1.28,0,1
1.3,0,1
1.32,0,1
1.34,0,1
1.36,0,1
1.38,0,1
1.4,0,1
1.42,0,1
1.44,0,1
1.46,0,1
1.48,0,1
1.5,0,1
1.52,0,1
1.54,0,1
1.56,0,1
1.58,0,1
1.6,0,1
1.62,0,1
1.64,0,1
1.66,0,1
1.68,0,1
1.7,0,1
1.72,0,1
1.74,0,1
1.76,0,1
1.78,0,1
1.8,0,1
1.82,0,1
1.84,0,1
1.86,0,1
1.88,0,1
1.9,0,1
1.92,0,1
1.94,0,1
1.96,0,1
1.98,0,1
2,0,1
0,0.01,1
0.02,0.01,1.00032
0.04,0.01,1.00064
0.06,0.01,1.00097
0.08,0.01,1.00129
0.1,0.01,1.00161
0.12,0.01,1.00194
0.14,0.01,1.00226
0.16,0.01,1.00259
0.18,0.01,1.00292
0.2,0.01,1.00325
0.22,0.01,1.00358
0.24,0.01,1.00392
0.26,0.01,1.00426
0.28,0.01,1.00459
0.3,0.01,1.00494
0.32,0.01,1.00528
0.34,0.01,1.00563
0.36,0.01,1.00598
0.38,0.01,1.00634
0.4,0.01,1.00669
0.42,0.01,1.00706
0.44,0.01,1.00742
0.46,0.01,1.00779
0.48,0.01,1.00816
0.5,0.01,1.00854
0.52,0.01,1.00892
0.54,0.01,1.00931
0.56,0.01,1.0097
0.58,0.01,1.01009
0.6,0.01,1.01049
0.62,0.01,1.01089
0.64,0.01,1.0113
0.66,0.01,1.01171
0.68,0.01,1.01213
0.7,0.01,1.01255
0.72,0.01,1.01298
0.74,0.01,1.01341
0.76,0.01,1.01384
0.78,0.01,1.01428
0.8,0.01,1.01472
0.82,0.01,1.01517
0.84,0.01,1.01562
0.86,0.01,1.01608
0.88,0.01,1.01654
0.9,0.01,1.017
0.92,0.01,1.01747
0.94,0.01,1.01794
0.96,0.01,1.01841
0.98,0.01,1.01889
1,0.01,1.01936
1.02,0.01,1.01984
1.04,0.01,1.02032
1.06,0.01,1.02081
1.08,0.01,1.02129
1.1,0.01,1.02177
1.12,0.01,1.02225
1.14,0.01,1.02274
1.16,0.01,1.02322
1.18,0.01,1.0237
1.2,0.01,1.02417
1.22,0.01,1.02464
1.24,0.01,1.02511
1.26,0.01,1.02557
1.28,0.01,1.02603
1.3,0.01,1.02647
1.32,0.01,1.02691
1.34,0.01,1.02734
1.36,0.01,1.02776
1.38,0.01,1.02817
1.4,0.01,1.02856
1.42,0.01,1.02894
1.44,0.01,1.0293
1.46,0.01,1.02965
1.48,0.01,1.02997
1.5,0.01,1.03027
1.52,0.01,1.03055
1.54,0.01,1.0308
1.56,0.01,1.03102
1.58,0.01,1.03121
1.6,0.01,1.03137
1.62,0.01,1.0315
1.64,0.01,1.03158
1.66,0.01,1.03162
1.68,0.01,1.03162
1.7,0.01,1.03157
1.72,0.01,1.03147
1.74,0.01,1.03132
1.76,0.01,1.0311
1.78,0.01,1.03082
1.8,0.01,1.03046
1.82,0.01,1.03004
1.84,0.01,1.02952
1.86,0.01,1.02892
1.88,0.01,1.02821
1.9,0.01,1.02739
1.92,0.01,1.02643
1.94,0.01,1.02531
1.96,0.01,1.02399
1.98,0.01,1.02237
2,0.01,1.0202
0,0.02,1
0.02,0.02,1.00064
0.04,0.02,1.00129
0.06,0.02,1.00193
0.08,0.02,1.00258
0.1,0.02,1.00323
0.12,0.02,1.00387
0.14,0.02,1.00453
0.16,0.02,1.00518
0.18,0.02,1.00584
0.2,0.02,1.0065
0.22,0.02,1.00717
0.24,0.02,1.00784
0.26,0.02,1.00851
0.28,0.02,1.00919
0.3,0.02,1.00987
0.32,0.02,1.01056
0.34,0.02,1.01126
0.36,0.02,1.01196
0.38,0.02,1.01267
0.4,0.02,1.01339
0.42,0.02,1.01411
0.44,0.02,1.01484
0.46,0.02,1.01558
0.48,0.02,1.01633
0.5,0.02,1.01708
0.52,0.02,1.01784
0.54,0.02,1.01862
0.56,0.02,1.01939
0.58,0.02,1.02018
0.6,0.02,1.02098
0.62,0.02,1.02179
0.64,0.02,1.0226
0.66,0.02,1.02343
0.68,0.02,1.02426
0.7,0.02,1.0251
0.72,0.02,1.02595
0.74,0.02,1.02681
0.76,0.02,1.02768
0.78,0.02,1.02856
0.8,0.02,1.02945
0.82,0.02,1.03034
0.84,0.02,1.03125
0.86,0.02,1.03216
0.88,0.02,1.03308
0.9,0.02,1.034
0.92,0.02,1.03494
0.94,0.02,1.03588
0.96,0.02,1.03682
0.98,0.02,1.03777
1,0.02,1.03873
1.02,0.02,1.03968
1.04,0.02,1.04065
1.06,0.02,1.04161
1.08,0.02,1.04258
1.1,0.02,1.04354
1.12,0.02,1.04451
1.14,0.02,1.04547
1.16,0.02,1.04644
1.18,0.02,1.04739
1.2,0.02,1.04834
1.22,0.02,1.04929
1.24,0.02,1.05022
1.26,0.02,1.05114
1.28,0.02,1.05206
1.3,0.02,1.05295
1.32,0.02,1.05383
1.34,0.02,1.05469
1.36,0.02,1.05553
1.38,0.02,1.05634
1.4,0.02,1.05713
1.42,0.02,1.05789
1.44,0.02,1.05861
1.46,0.02,1.0593
1.48,0.02,1.05994
1.5,0.02,1.06055
1.52,0.02,1.0611
1.54,0.02,1.0616
1.56,0.02,1.06205
1.58,0.02,1.06243
1.6,0.02,1.06275
1.62,0.02,1.063
1.64,0.02,1.06317
1.66,0.02,1.06326
1.68,0.02,1.06326
1.7,0.02,1.06316
1.72,0.02,1.06296
1.74,0.02,1.06265
1.76,0.02,1.06221
1.78,0.02,1.06165
1.8,0.02,1.06095
1.82,0.02,1.06009
1.84,0.02,1.05907
1.86,0.02,1.05786
1.88,0.02,1.05645
1.9,0.02,1.05481
1.92,0.02,1.0529
1.94,0.02,1.05068
1.96,0.02,1.04805
1.98,0.02,1.04487
2,0.02,1.04081
0,0.03,1
0.02,0.03,1.00096
0.04,0.03,1.00193
0.06,0.03,1.0029
0.08,0.03,1.00387
0.1,0.03,1.00484
0.12,0.03,1.00581
0.14,0.03,1.00679
0.16,0.03,1.00777
0.18,0.03,1.00876
0.2,0.03,1.00975
0.22,0.03,1.01075
0.24,0.03,1.01175
0.26,0.03,1.01276
0.28,0.03,1.01378
0.3,0.03,1.01481
0.32,0.03,1.01584
0.34,0.03,1.01689
0.36,0.03,1.01794
0.38,0.03,1.01901
0.4,0.03,1.02008
0.42,0.03,1.02117
0.44,0.03,1.02226
0.46,0.03,1.02337
0.48,0.03,1.02449
0.5,0.03,1.02562
0.52,0.03,1.02676
0.54,0.03,1.02792
0.56,0.03,1.02909
0.58,0.03,1.03027
0.6,0.03,1.03147
0.62,0.03,1.03268
0.64,0.03,1.0339
0.66,0.03,1.03514
0.68,0.03,1.03639
0.7,0.03,1.03765
0.72,0.03,1.03893
0.74,0.03,1.04022
0.76,0.03,1.04152
0.78,0.03,1.04284
0.8,0.03,1.04417
0.82,0.03,1.04551
0.84,0.03,1.04687
0.86,0.03,1.04823
0.88,0.03,1.04961
0.9,0.03,1.051
0.92,0.03,1.0524
0.94,0.03,1.05381
0.96,0.03,1.05523
0.98,0.03,1.05665
1,0.03,1.05809
1.02,0.03,1.05953
1.04,0.03,1.06097
1.06,0.03,1.06242
1.08,0.03,1.06387
1.1,0.03,1.06532
1.12,0.03,1.06677
1.14,0.03,1.06821
1.16,0.03,1.06965
1.18,0.03,1.07109
1.2,0.03,1.07252
1.22,0.03,1.07393
1.24,0.03,1.07534
1.26,0.03,1.07672
1.28,0.03,1.07809
1.3,0.03,1.07943
1.32,0.03,1.08075
1.34,0.03,1.08204
1.36,0.03,1.0833
1.38,0.03,1.08452
1.4,0.03,1.0857
1.42,0.03,1.08684
1.44,0.03,1.08793
1.46,0.03,1.08896
1.48,0.03,1.08993
1.5,0.03,1.09083
1.52,0.03,1.09167
1.54,0.03,1.09242
1.56,0.03,1.09309
1.58,0.03,1.09367
1.6,0.03,1.09415
1.62,0.03,1.09453
1.64,0.03,1.09478
1.66,0.03,1.09492
1.68,0.03,1.09492
1.7,0.03,1.09477
1.72,0.03,1.09447
1.74,0.03,1.09401
1.76,0.03,1.09336
1.78,0.03,1.09252
1.8,0.03,1.09147
1.82,0.03,1.09019
1.84,0.03,1.08866
1.86,0.03,1.08686
1.88,0.03,1.08475
1.9,0.03,1.0823
1.92,0.03,1.07945
1.94,0.03,1.07614
1.96,0.03,1.07225
1.98,0.03,1.06759
2,0.03,1.06184
0,0.04,1
0.02,0.04,1.00129
0.04,0.04,1.00257
0.06,0.04,1.00386
0.08,0.04,1.00515
0.1,0.04,1.00645
0.12,0.04,1.00775
0.14,0.04,1.00905
0.16,0.04,1.01036
0.18,0.04,1.01167
0.2,0.04,1.013
0.22,0.04,1.01433
0.24,0.04,1.01567
0.26,0.04,1.01702
0.28,0.04,1.01837
0.3,0.04,1.01974
0.32,0.04,1.02112
0.34,0.04,1.02252
0.36,0.04,1.02392
0.38,0.04,1.02534
0.4,0.04,1.02677
0.42,0.04,1.02822
0.44,0.04,1.02968
0.46,0.04,1.03115
0.48,0.04,1.03265
0.5,0.04,1.03416
0.52,0.04,1.03568
0.54,0.04,1.03722
0.56,0.04,1.03878
0.58,0.04,1.04036
0.6,0.04,1.04195
0.62,0.04,1.04356
0.64,0.04,1.04519
0.66,0.04,1.04684
0.68,0.04,1.04851
0.7,0.04,1.05019
0.72,0.04,1.0519
0.74,0.04,1.05362
0.76,0.04,1.05536
0.78,0.04,1.05711
0.8,0.04,1.05889
0.82,0.04,1.06068
0.84,0.04,1.06249
0.86,0.04,1.06431
0.88,0.04,1.06615
0.9,0.04,1.068
0.92,0.04,1.06987
0.94,0.04,1.07175
0.96,0.04,1.07364
0.98,0.04,1.07554
1,0.04,1.07745
1.02,0.04,1.07937
1.04,0.04,1.08129
