x,y,V
0,0,-nan
0.04,0,-nan
0.08,0,-nan
0.12,0,-nan
0.16,0,-nan
0.2,0,-nan
0.24,0,-nan
0.28,0,-nan
0.32,0,-nan
0.36,0,-nan
0.4,0,-nan
0.44,0,-nan
0.48,0,-nan
0.52,0,-nan
0.56,0,-nan
0.6,0,-nan
0.64,0,-nan
0.68,0,-nan
0.72,0,-nan
0.76,0,-nan
0.8,0,-nan
0.84,0,-nan
0.88,0,-nan
0.92,0,-nan
0.96,0,-nan
1,0,-nan
1.04,0,-nan
1.08,0,-nan
1.12,0,-nan
1.16,0,-nan
1.2,0,-nan
1.24,0,-nan
1.28,0,-nan
1.32,0,-nan
1.36,0,-nan
1.4,0,-nan
1.44,0,-nan
1.48,0,-nan
1.52,0,-nan
1.56,0,-nan
1.6,0,-nan
1.64,0,-nan
1.68,0,-nan
1.72,0,-nan
1.76,0,-nan
1.8,0,-nan
1.84,0,-nan
1.88,0,-nan
1.92,0,-nan
1.96,0,-nan
2,0,-nan
0,0.02,-nan
0.04,0.02,-nan
0.08,0.02,-nan
0.12,0.02,-nan
0.16,0.02,-nan
0.2,0.02,-nan
0.24,0.02,-nan
0.28,0.02,-nan
0.32,0.02,-nan
0.36,0.02,-nan
0.4,0.02,-nan
0.44,0.02,-nan
0.48,0.02,-nan
0.52,0.02,-nan
0.56,0.02,-nan
0.6,0.02,-nan
0.64,0.02,-nan
0.68,0.02,-nan
0.72,0.02,-nan
0.76,0.02,-nan
0.8,0.02,-nan
0.84,0.02,-nan
0.88,0.02,-nan
0.92,0.02,-nan
0.96,0.02,-nan
1,0.02,-nan
1.04,0.02,-nan
1.08,0.02,-nan
1.12,0.02,-nan
1.16,0.02,-nan
1.2,0.02,-nan
1.24,0.02,-nan
1.28,0.02,-nan
1.32,0.02,-nan
1.36,0.02,-nan
1.4,0.02,-nan
1.44,0.02,-nan
1.48,0.02,-nan
1.52,0.02,-nan
1.56,0.02,-nan
1.6,0.02,-nan
1.64,0.02,-nan
1.68,0.02,-nan
1.72,0.02,-nan
1.76,0.02,-nan
1.8,0.02,-nan
1.84,0.02,-nan
1.88,0.02,-nan
1.92,0.02,-nan
1.96,0.02,-nan
2,0.02,-nan
0,0.04,-nan
0.04,0.04,-nan
0.08,0.04,-nan
0.12,0.04,-nan
0.16,0.04,-nan
