x,y,V
0,0,1
0.04,0,1.00099
0.08,0,1.00199
0.12,0,1.00299
0.16,0,1.00402
0.2,0,1.00507
0.24,0,1.00615
0.28,0,1.00726
0.32,0,1.00842
0.36,0,1.00962
0.4,0,1.01087
0.44,0,1.01218
0.48,0,1.01354
0.52,0,1.01497
0.56,0,1.01647
0.6,0,1.01803
0.64,0,1.01966
0.68,0,1.02136
0.72,0,1.02313
0.76,0,1.02498
0.8,0,1.02688
0.84,0,1.02886
0.88,0,1.0309
0.92,0,1.03299
0.96,0,1.03513
1,0,1.0373
1.04,0,1.03951
1.08,0,1.04174
1.12,0,1.04396
1.16,0,1.04617
1.2,0,1.04834
1.24,0,1.05045
1.28,0,1.05247
1.32,0,1.05437
1.36,0,1.05612
1.4,0,1.05766
1.44,0,1.05897
1.48,0,1.05997
1.52,0,1.06063
1.56,0,1.06086
1.6,0,1.0606
1.64,0,1.05977
1.68,0,1.05828
1.72,0,1.05601
1.76,0,1.05284
1.8,0,1.04863
1.84,0,1.04319
1.88,0,1.03627
1.92,0,1.02748
1.96,0,1.01605
2,0,1
0,0.02,1.00025
0.04,0.02,0.000495585
0.08,0.02,0.000993516
0.12,0.02,0.0014971
0.16,0.02,0.0020095
0.2,0.02,0.00253383
0.24,0.02,0.00307305
0.28,0.02,0.00363005
0.32,0.02,0.00420755
0.36,0.02,0.0048081
0.4,0.02,0.00543409
0.44,0.02,0.00608771
0.48,0.02,0.0067709
0.52,0.02,0.00748539
0.56,0.02,0.00823261
0.6,0.02,0.00901371
0.64,0.02,0.0098295
0.68,0.02,0.0106804
0.72,0.02,0.0115666
0.76,0.02,0.0124875
0.8,0.02,0.0134424
0.84,0.02,0.0144297
0.88,0.02,0.0154475
0.92,0.02,0.0164931
0.96,0.02,0.0175628
1,0.02,0.0186523
1.04,0.02,0.0197564
1.08,0.02,0.0208687
1.12,0.02,0.0219814
1.16,0.02,0.0230859
1.2,0.02,0.0241716
1.24,0.02,0.0252265
1.28,0.02,0.0262369
1.32,0.02,0.0271869
1.36,0.02,0.0280586
1.4,0.02,0.0288315
1.44,0.02,0.0294827
1.48,0.02,0.0299861
1.52,0.02,0.0303129
1.56,0.02,0.0304304
1.6,0.02,0.030302
1.64,0.02,0.0298867
1.68,0.02,0.0291382
1.72,0.02,0.0280035
1.76,0.02,0.0264209
1.8,0.02,0.0243166
1.84,0.02,0.0215974
1.88,0.02,0.0181364
1.92,0.02,0.0137375
1.96,0.02,0.00802692
2,0.02,1.04482
0,0.04,1.00049
0.04,0.04,0.000989605
