x,y,V,Exact,Error
0,0,1,1,0
0.04,0,1,1,0
0.08,0,1,1,0
0.12,0,1,1,0
0.16,0,1,1,0
0.2,0,1,1,0
0.24,0,1,1,0
0.28,0,1,1,0
0.32,0,1,1,0
0.36,0,1,1,0
0.4,0,1,1,0
0.44,0,1,1,0
0.48,0,1,1,0
0.52,0,1,1,0
0.56,0,1,1,0
0.6,0,1,1,0
0.64,0,1,1,0
0.68,0,1,1,0
0.72,0,1,1,0
0.76,0,1,1,0
0.8,0,1,1,0
0.84,0,1,1,0
0.88,0,1,1,0
0.92,0,1,1,0
0.96,0,1,1,0
1,0,1,1,0
1.04,0,1,1,0
1.08,0,1,1,0
1.12,0,1,1,0
1.16,0,1,1,0
1.2,0,1,1,0
1.24,0,1,1,0
1.28,0,1,1,0
1.32,0,1,1,0
1.36,0,1,1,0
1.4,0,1,1,0
1.44,0,1,1,0
1.48,0,1,1,0
1.52,0,1,1,0
1.56,0,1,1,0
1.6,0,1,1,0
1.64,0,1,1,0
1.68,0,1,1,0
1.72,0,1,1,0
1.76,0,1,1,0
1.8,0,1,1,0
1.84,0,1,1,0
1.88,0,1,1,0
1.92,0,1,1,0
1.96,0,1,1,0
2,0,1,1,0
0,0.02,1,1,0
0.04,0.02,1.00179,1.0008,0.000990289
0.08,0.02,1.00359,1.0016,0.0019855
0.12,0.02,1.00539,1.0024,0.00299212
0.16,0.02,1.00722,1.00321,0.00401647
0.2,0.02,1.00907,1.00401,0.00506471
0.24,0.02,1.01095,1.00481,0.00614281
0.28,0.02,1.01287,1.00562,0.00725648
0.32,0.02,1.01483,1.00642,0.00841117
0.36,0.02,1.01684,1.00723,0.00961201
0.4,0.02,1.0189,1.00803,0.0108638
0.44,0.02,1.02101,1.00884,0.0121708
0.48,0.02,1.02318,1.00965,0.013537
0.52,0.02,1.02542,1.01045,0.0149657
0.56,0.02,1.02772,1.01126,0.01646
0.6,0.02,1.03009,1.01207,0.0180221
0.64,0.02,1.03254,1.01288,0.0196535
0.68,0.02,1.03505,1.01369,0.0213553
0.72,0.02,1.03763,1.0145,0.0231274
0.76,0.02,1.04029,1.01532,0.0249692
0.8,0.02,1.04301,1.01613,0.0268789
0.84,0.02,1.0458,1.01694,0.0288536
0.88,0.02,1.04864,1.01776,0.0308891
0.92,0.02,1.05155,1.01857,0.0329801
0.96,0.02,1.05451,1.01939,0.0351195
1,0.02,1.0575,1.0202,0.0372987
1.04,0.02,1.06052,1.02102,0.0395069
1.08,0.02,1.06357,1.02183,0.0417314
1.12,0.02,1.06661,1.02265,0.043957
1.16,0.02,1.06964,1.02347,0.0461659
1.2,0.02,1.07263,1.02429,0.0483374
1.24,0.02,1.07556,1.02511,0.0504474
1.28,0.02,1.0784,1.02593,0.0524683
1.32,0.02,1.08112,1.02675,0.0543685
1.36,0.02,1.08369,1.02757,0.056112
1.4,0.02,1.08605,1.0284,0.057658
1.44,0.02,1.08818,1.02922,0.0589606
1.48,0.02,1.09001,1.03004,0.0599678
1.52,0.02,1.09149,1.03087,0.0606216
1.56,0.02,1.09255,1.03169,0.0608568
1.6,0.02,1.09312,1.03252,0.0606004
1.64,0.02,1.09311,1.03334,0.0597702
1.68,0.02,1.09244,1.03417,0.0582736
1.72,0.02,1.091,1.035,0.0560046
1.76,0.02,1.08867,1.03583,0.0528399
1.8,0.02,1.08529,1.03666,0.0486316
1.84,0.02,1.08068,1.03749,0.0431936
1.88,0.02,1.07459,1.03832,0.0362721
1.92,0.02,1.06662,1.03915,0.0274747
1.96,0.02,1.05603,1.03998,0.0160538
2,0.02,1.04081,1.04081,0
0,0.04,1,1,0
0.04,0.04,1.00358,1.0016,0.00197757
0.08,0.04,1.00717,1.00321,0.00396252
0.12,0.04,1.01078,1.00481,0.00596775
0.16,0.04,1.01443,1.00642,0.00800592
0.2,0.04,1.01812,1.00803,0.0100893
0.24,0.04,1.02188,1.00965,0.0122299
0.28,0.04,1.0257,1.01126,0.0144391
0.32,0.04,1.02961,1.01288,0.0167279
0.36,0.04,1.03361,1.0145,0.0191064
0.4,0.04,1.03771,1.01613,0.0215842
0.44,0.04,1.04193,1.01776,0.02417
0.48,0.04,1.04626,1.01939,0.0268717
0.52,0.04,1.05071,1.02102,0.0296961
0.56,0.04,1.0553,1.02265,0.0326489
0.6,0.04,1.06003,1.02429,0.0357348
0.64,0.04,1.06489,1.02593,0.0389571
0.68,0.04,1.06989,1.02757,0.0423175
0.72,0.04,1.07503,1.02922,0.0458163
0.76,0.04,1.08032,1.03087,0.0494519
0.8,0.04,1.08574,1.03252,0.0532208
0.84,0.04,1.09129,1.03417,0.0571174
0.88,0.04,1.09696,1.03583,0.0611334
0.92,0.04,1.10274,1.03749,0.065258
0.96,0.04,1.10862,1.03915,0.0694771
1,0.04,1.11458,1.04081,0.0737735
1.04,0.04,1.1206,1.04248,0.0781257
1.08,0.04,1.12666,1.04415,0.0825085
1.12,0.04,1.13271,1.04582,0.0868914
1.16,0.04,1.13873,1.04749,0.091239
1.2,0.04,1.14468,1.04917,0.0955098
1.24,0.04,1.15051,1.05085,0.0996557
1.28,0.04,1.15616,1.05253,0.103622
1.32,0.04,1.16156,1.05422,0.107345
1.36,0.04,1.16666,1.05591,0.110752
1.4,0.04,1.17136,1.0576,0.113764
1.44,0.04,1.17558,1.05929,0.116287
1.48,0.04,1.17921,1.06099,0.118219
1.52,0.04,1.18213,1.06269,0.119442
1.56,0.04,1.18422,1.06439,0.119828
1.6,0.04,1.18532,1.06609,0.119229
1.64,0.04,1.18528,1.0678,0.117483
1.68,0.04,1.18391,1.06951,0.114405
1.72,0.04,1.181,1.07122,0.109783
1.76,0.04,1.17631,1.07294,0.103373
1.8,0.04,1.16954,1.07466,0.0948832
1.84,0.04,1.16032,1.07638,0.0839476
1.88,0.04,1.14818,1.0781,0.0700768
1.92,0.04,1.13237,1.07983,0.0525402
1.96,0.04,1.11162,1.08156,0.030069
2,0.04,1.08329,1.08329,0
0,0.06,1,1,0
0.04,0.06,1.00536,1.0024,0.00296026
0.08,0.06,1.01074,1.00481,0.00592786
0.12,0.06,1.01615,1.00723,0.00892212
0.16,0.06,1.02161,1.00965,0.011962
0.2,0.06,1.02714,1.01207,0.0150659
0.24,0.06,1.03276,1.0145,0.0182519
0.28,0.06,1.03848,1.01694,0.021537
0.32,0.06,1.04432,1.01939,0.0249377
0.36,0.06,1.0503,1.02183,0.0284692
0.4,0.06,1.05644,1.02429,0.032146
0.44,0.06,1.06273,1.02675,0.0359812
0.48,0.06,1.06921,1.02922,0.0399864
0.52,0.06,1.07586,1.03169,0.0441719
0.56,0.06,1.08272,1.03417,0.0485465
0.6,0.06,1.08977,1.03666,0.0531171
0.64,0.06,1.09704,1.03915,0.0578885
0.68,0.06,1.10451,1.04164,0.0628635
0.72,0.06,1.11219,1.04415,0.0680426
0.76,0.06,1.12008,1.04666,0.0734234
0.8,0.06,1.12817,1.04917,0.0790008
0.84,0.06,1.13646,1.05169,0.0847662
0.88,0.06,1.14493,1.05422,0.0907074
0.92,0.06,1.15356,1.05675,0.0968082
0.96,0.06,1.16234,1.05929,0.103048
1,0.06,1.17124,1.06184,0.1094
1.04,0.06,1.18022,1.06439,0.115834
1.08,0.06,1.18926,1.06695,0.12231
1.12,0.06,1.19829,1.06951,0.128784
1.16,0.06,1.20728,1.07208,0.135202
1.2,0.06,1.21616,1.07466,0.141503
1.24,0.06,1.22485,1.07724,0.147615
1.28,0.06,1.23328,1.07983,0.153455
1.32,0.06,1.24135,1.08242,0.158928
1.36,0.06,1.24895,1.08502,0.163928
1.4,0.06,1.25596,1.08763,0.168332
1.44,0.06,1.26225,1.09024,0.172003
1.48,0.06,1.26765,1.09286,0.174786
1.52,0.06,1.27199,1.09549,0.176506
1.56,0.06,1.27509,1.09812,0.17697
1.6,0.06,1.27672,1.10076,0.17596
1.64,0.06,1.27663,1.1034,0.17323
1.68,0.06,1.27456,1.10606,0.168505
1.72,0.06,1.27018,1.10871,0.161472
1.76,0.06,1.26314,1.11138,0.151766
1.8,0.06,1.25301,1.11405,0.138959
1.84,0.06,1.23924,1.11672,0.122519
1.88,0.06,1.22116,1.11941,0.101748
1.92,0.06,1.19775,1.1221,0.0756533
1.96,0.06,1.16745,1.12479,0.0426581
2,0.06,1.1275,1.1275,0
0,0.08,1,1,0
0.04,0.08,1.00714,1.00321,0.00393677
0.08,0.08,1.0143,1.00642,0.00787833
0.12,0.08,1.0215,1.00965,0.0118504
0.16,0.08,1.02876,1.01288,0.0158783
0.2,0.08,1.03612,1.01613,0.0199866
0.24,0.08,1.04358,1.01939,0.0241992
0.28,0.08,1.05119,1.02265,0.0285391
0.32,0.08,1.05896,1.02593,0.0330281
0.36,0.08,1.06691,1.02922,0.0376868
0.4,0.08,1.07505,1.03252,0.0425341
0.44,0.08,1.08341,1.03583,0.0475877
0.48,0.08,1.09201,1.03915,0.0528631
0.52,0.08,1.10085,1.04248,0.0583742
0.56,0.08,1.10995,1.04582,0.0641326
0.6,0.08,1.11932,1.04917,0.0701474
0.64,0.08,1.12896,1.05253,0.0764253
0.68,0.08,1.13888,1.05591,0.0829701
0.72,0.08,1.14907,1.05929,0.0897823
0.76,0.08,1.15955,1.06269,0.096859
0.8,0.08,1.17029,1.06609,0.104193
0.84,0.08,1.18128,1.06951,0.111774
0.88,0.08,1.19252,1.07294,0.119585
0.92,0.08,1.20398,1.07638,0.127605
0.96,0.08,1.21563,1.07983,0.135806
1,0.08,1.22744,1.08329,0.144154
1.04,0.08,1.23937,1.08676,0.152606
1.08,0.08,1.25136,1.09024,0.161113
1.12,0.08,1.26335,1.09374,0.169614
1.16,0.08,1.27528,1.09724,0.178038
1.2,0.08,1.28706,1.10076,0.186303
1.24,0.08,1.2986,1.10429,0.194314
1.28,0.08,1.30979,1.10783,0.201961
