x,y,V
0,0,1
0.05,0,1
0.1,0,1
0.15,0,1
0.2,0,1
0.25,0,1
0.3,0,1
0.35,0,1
0.4,0,1
0.45,0,1
0.5,0,1
0.55,0,1
0.6,0,1
0.65,0,1
0.7,0,1
0.75,0,1
0.8,0,1
0.85,0,1
0.9,0,1
0.95,0,1
1,0,1
1.05,0,1
1.1,0,1
1.15,0,1
1.2,0,1
1.25,0,1
1.3,0,1
1.35,0,1
1.4,0,1
1.45,0,1
1.5,0,1
1.55,0,1
1.6,0,1
1.65,0,1
1.7,0,1
1.75,0,1
1.8,0,1
1.85,0,1
1.9,0,1
1.95,0,1
2,0,1
0,0.05,1
0.05,0.05,0.177515
0.1,0.05,0.35502
0.15,0.05,0.532524
0.2,0.05,0.710053
0.25,0.05,0.887662
0.3,0.05,1.06544
0.35,0.05,1.24349
0.4,0.05,1.422
0.45,0.05,1.60113
0.5,0.05,1.78112
0.55,0.05,1.96221
0.6,0.05,2.14469
0.65,0.05,2.32883
0.7,0.05,2.51494
0.75,0.05,2.70333
0.8,0.05,2.8943
0.85,0.05,3.08818
0.9,0.05,3.28526
0.95,0.05,3.48584
1,0.05,3.6902
1.05,0.05,3.8986
1.1,0.05,4.1113
1.15,0.05,4.32854
1.2,0.05,4.55053
1.25,0.05,4.77747
1.3,0.05,5.00957
1.35,0.05,5.24702
1.4,0.05,5.49002
1.45,0.05,5.73884
1.5,0.05,5.99382
1.55,0.05,6.25546
1.6,0.05,6.52459
1.65,0.05,6.80256
1.7,0.05,7.09174
1.75,0.05,7.39643
1.8,0.05,7.72486
1.85,0.05,8.09407
1.9,0.05,8.54297
1.95,0.05,9.17202
2,0.05,10.2772
0,0.1,1
0.05,0.1,0.355025
0.1,0.1,0.710008
0.15,0.1,1.06496
0.2,0.1,1.41992
0.25,0.1,1.77499
0.3,0.1,2.13035
0.35,0.1,2.48623
0.4,0.1,2.84294
0.45,0.1,3.20088
0.5,0.1,3.56048
0.55,0.1,3.92227
0.6,0.1,4.28677
0.65,0.1,4.65459
0.7,0.1,5.02632
0.75,0.1,5.40259
0.8,0.1,5.78404
0.85,0.1,6.17127
0.9,0.1,6.5649
0.95,0.1,6.96552
1,0.1,7.37371
1.05,0.1,7.78998
1.1,0.1,8.21486
1.15,0.1,8.64881
1.2,0.1,9.09226
1.25,0.1,9.54563
1.3,0.1,10.0093
1.35,0.1,10.4836
1.4,0.1,10.969
1.45,0.1,11.4659
1.5,0.1,11.9749
1.55,0.1,12.4969
1.6,0.1,13.0334
1.65,0.1,13.5865
1.7,0.1,14.1601
1.75,0.1,14.7607
1.8,0.1,15.4001
1.85,0.1,16.0991
1.9,0.1,16.8958
1.95,0.1,17.8574
2,0.1,19.0788
0,0.15,1
0.05,0.15,0.532541
0.1,0.15,1.06498
0.15,0.15,1.59729
0.2,0.15,2.12954
0.25,0.15,2.66185
0.3,0.15,3.19448
0.35,0.15,3.72778
0.4,0.15,4.26222
0.45,0.15,4.7984
0.5,0.15,5.33699
0.55,0.15,5.87876
0.6,0.15,6.42456
0.65,0.15,6.97527
0.7,0.15,7.53182
0.75,0.15,8.09515
0.8,0.15,8.66621
0.85,0.15,9.24596
0.9,0.15,9.8353
0.95,0.15,10.4351
1,0.15,11.0463
1.05,0.15,11.6697
1.1,0.15,12.3059
1.15,0.15,12.9558
1.2,0.15,13.62
1.25,0.15,14.299
1.3,0.15,14.9935
1.35,0.15,15.7039
1.4,0.15,16.4307
1.45,0.15,17.1747
1.5,0.15,17.9364
1.55,0.15,18.717
1.6,0.15,19.518
1.65,0.15,20.3419
1.7,0.15,21.1928
1.75,0.15,22.0772
1.8,0.15,23.0059
1.85,0.15,23.9959
1.9,0.15,25.073
1.95,0.15,26.2714
2,0.15,27.6212
0,0.2,1
0.05,0.2,0.710099
0.1,0.2,1.41998
0.15,0.2,2.12958
0.2,0.2,2.83892
0.25,0.2,3.54817
0.3,0.2,4.25764
0.35,0.2,4.96779
0.4,0.2,5.67928
0.45,0.2,6.3929
0.5,0.2,7.10957
0.55,0.2,7.83036
0.6,0.2,8.55639
0.65,0.2,9.28889
0.7,0.2,10.0291
0.75,0.2,10.7783
0.8,0.2,11.5378
0.85,0.2,12.3089
0.9,0.2,13.0928
0.95,0.2,13.8907
1,0.2,14.7038
1.05,0.2,15.5332
1.1,0.2,16.3798
1.15,0.2,17.2446
1.2,0.2,18.1285
1.25,0.2,19.0322
1.3,0.2,19.9565
1.35,0.2,20.902
1.4,0.2,21.8693
1.45,0.2,22.859
1.5,0.2,23.8719
1.55,0.2,24.9089
1.6,0.2,25.9714
1.65,0.2,27.0616
1.7,0.2,28.1825
1.75,0.2,29.3394
1.8,0.2,30.5397
1.85,0.2,31.7943
1.9,0.2,33.1168
1.95,0.2,34.5211
2,0.2,36.0129
0,0.25,1
0.05,0.25,0.887764
0.1,0.25,1.77514
0.15,0.25,2.66196
0.2,0.25,3.54819
0.25,0.25,4.43401
0.3,0.25,5.31976
0.35,0.25,6.20604
0.4,0.25,7.09367
0.45,0.25,7.98367
0.5,0.25,8.87724
0.55,0.25,9.77574
0.6,0.25,10.6806
0.65,0.25,11.5935
0.7,0.25,12.5159
0.75,0.25,13.4495
0.8,0.25,14.3959
0.85,0.25,15.3568
0.9,0.25,16.3338
0.95,0.25,17.3283
1,0.25,18.3419
1.05,0.25,19.3758
1.1,0.25,20.4315
1.15,0.25,21.51
1.2,0.25,22.6124
1.25,0.25,23.7398
1.3,0.25,24.8928
1.35,0.25,26.0723
1.4,0.25,27.2788
1.45,0.25,28.5131
1.5,0.25,29.7756
1.55,0.25,31.0671
1.6,0.25,32.3884
1.65,0.25,33.7407
1.7,0.25,35.1261
1.75,0.25,36.5471
1.8,0.25,38.0076
1.85,0.25,39.5122
1.9,0.25,41.0654
1.95,0.25,42.669
2,0.25,44.3178
0,0.3,1
0.05,0.3,1.06565
