programa,condicion,hilos,tipo,tiempo
poisson_serial,1,1,N/A,
poisson_serial,2,1,N/A,
poisson_parallel,1,1,N/A,
poisson_parallel,1,2,N/A,
poisson_parallel,1,4,N/A,
poisson_parallel,1,8,N/A,
poisson_parallel,1,16,N/A,
poisson_parallel,2,1,N/A,
poisson_parallel,2,2,N/A,
poisson_parallel,2,4,N/A,
poisson_parallel,2,8,N/A,
poisson_parallel,2,16,N/A,
poisson_collapse,1,1,N/A,
poisson_collapse,1,2,N/A,
poisson_collapse,1,4,N/A,
poisson_collapse,1,8,N/A,
poisson_collapse,1,16,N/A,
poisson_collapse,2,1,N/A,
poisson_collapse,2,2,N/A,
poisson_collapse,2,4,N/A,
poisson_collapse,2,8,N/A,
poisson_collapse,2,16,N/A,
poisson_sections,1,1,N/A,
poisson_sections,1,2,N/A,
poisson_sections,1,4,N/A,
poisson_sections,1,8,N/A,
poisson_sections,1,16,N/A,
poisson_sections,2,1,N/A,
poisson_sections,2,2,N/A,
poisson_sections,2,4,N/A,
poisson_sections,2,8,N/A,
poisson_sections,2,16,N/A,
poisson_schedule,1,1,estatico,
poisson_schedule,1,2,estatico,
poisson_schedule,1,4,estatico,
poisson_schedule,1,8,estatico,
poisson_schedule,1,16,estatico,
poisson_schedule,1,1,dinamico,
poisson_schedule,1,2,dinamico,
poisson_schedule,1,4,dinamico,
poisson_schedule,1,8,dinamico,
poisson_schedule,1,16,dinamico,
poisson_schedule,2,1,estatico,
poisson_schedule,2,2,estatico,
poisson_schedule,2,4,estatico,
poisson_schedule,2,8,estatico,
poisson_schedule,2,16,estatico,
poisson_schedule,2,1,dinamico,
poisson_schedule,2,2,dinamico,
poisson_schedule,2,4,dinamico,
poisson_schedule,2,8,dinamico,
poisson_schedule,2,16,dinamico,
